age;maritalsts;education;balance;hhinsurance;carloan;carinsurance
32;single;tertiary;1218;1;0;0
32;married;primary;1156;1;0;0
29;single;tertiary;637;1;0;1
25;single;primary;373;1;0;1
30;married;tertiary;2694;0;0;0
32;single;tertiary;1625;0;0;1
37;single;tertiary;1000;1;0;1
35;divorced;tertiary;538;1;0;0
30;married;secondary;187;1;0;0
30;married;secondary;3;1;1;0
27;single;secondary;0;0;0;0
53;married;primary;-462;0;0;1
44;married;secondary;2776;1;0;1
38;divorced;secondary;2674;1;0;0
61;single;tertiary;2;0;0;1
34;single;secondary;69;1;0;0
46;married;tertiary;7331;0;0;1
49;married;secondary;2039;1;0;1
50;married;primary;82;0;0;1
57;married;secondary;773;1;1;0
80;married;secondary;8304;0;0;1
31;single;tertiary;0;0;0;0
63;married;secondary;2896;0;0;1
60;married;secondary;824;1;0;1
29;married;tertiary;900;0;0;0
54;married;primary;3859;0;1;0
34;married;secondary;-62;1;0;0
42;married;primary;832;0;0;0
54;married;secondary;0;0;0;1
32;single;secondary;6981;1;0;0
57;single;tertiary;842;0;0;1
36;divorced;tertiary;1057;0;0;0
34;single;secondary;1698;1;0;0
39;married;secondary;300;1;0;0
31;married;secondary;664;1;1;0
33;married;secondary;0;1;0;0
41;divorced;primary;138;1;0;1
35;married;secondary;216;1;1;0
32;married;secondary;3935;1;0;0
40;married;secondary;327;1;0;0
35;single;tertiary;2707;0;0;1
40;married;secondary;2574;1;0;1
60;married;tertiary;70;0;0;0
35;single;secondary;0;1;0;0
42;divorced;secondary;283;1;0;1
79;divorced;primary;79;0;0;1
46;single;secondary;13;0;0;0
33;divorced;secondary;464;0;0;0
46;married;primary;17;0;0;0
47;married;secondary;4420;1;1;1
31;married;secondary;326;0;1;0
39;married;secondary;52;0;0;1
31;married;secondary;457;1;0;0
46;divorced;secondary;1187;0;1;0
52;married;secondary;5091;0;0;0
36;divorced;tertiary;0;0;0;0
39;married;secondary;11887;0;0;1
18;single;primary;608;0;0;1
60;married;secondary;-46;0;0;0
36;single;secondary;0;1;0;1
57;married;tertiary;473;0;0;1
28;single;secondary;1955;0;0;0
30;married;tertiary;860;1;0;0
41;married;secondary;2689;1;0;1
58;married;tertiary;3768;1;0;0
23;married;tertiary;66;1;0;1
29;married;secondary;494;1;0;0
25;single;secondary;1298;0;0;0
39;married;secondary;0;1;0;0
45;divorced;tertiary;0;0;0;0
55;divorced;secondary;3450;0;0;1
32;married;tertiary;903;1;0;0
36;married;tertiary;722;1;0;0
34;single;tertiary;11350;1;0;0
39;single;secondary;556;1;0;0
49;single;secondary;716;1;0;1
37;married;tertiary;143;0;0;0
47;married;secondary;802;1;1;1
49;single;primary;25824;0;0;0
49;married;primary;518;0;0;1
34;divorced;secondary;0;0;0;0
40;married;secondary;-94;1;1;0
33;married;secondary;210;1;0;1
40;single;secondary;60;1;0;0
41;single;secondary;663;0;0;1
56;married;tertiary;830;1;1;1
33;single;secondary;-147;1;0;0
43;divorced;primary;6;1;0;0
46;divorced;secondary;1263;1;0;0
39;married;secondary;293;1;0;0
44;married;tertiary;446;0;0;0
48;divorced;tertiary;657;0;1;0
39;single;tertiary;48;0;0;1
46;married;primary;3969;0;0;0
19;single;primary;103;0;0;0
36;married;tertiary;753;0;0;0
43;married;secondary;3285;1;0;1
46;married;secondary;9299;0;0;1
56;married;primary;9367;0;0;1
57;married;secondary;7162;0;0;0
33;married;tertiary;1699;0;0;1
41;married;secondary;437;1;0;0
31;married;tertiary;69;0;0;0
52;married;tertiary;388;0;0;1
48;single;secondary;339;0;1;0
55;married;secondary;49;1;0;1
50;married;secondary;3370;0;0;1
33;single;secondary;-366;1;0;0
31;married;tertiary;2667;1;0;0
33;married;tertiary;899;1;0;0
31;married;tertiary;1331;0;0;1
37;married;secondary;4151;1;1;1
62;married;secondary;569;0;0;1
33;married;tertiary;1514;0;0;1
40;married;tertiary;0;0;0;0
37;single;tertiary;6101;0;0;1
46;divorced;tertiary;461;0;0;1
64;married;tertiary;2331;0;0;1
43;married;primary;519;0;0;1
57;married;primary;3109;0;0;1
58;divorced;primary;11;0;1;0
32;divorced;tertiary;53;0;0;1
43;married;secondary;699;1;1;1
30;single;tertiary;3300;0;0;1
45;married;secondary;251;1;0;0
56;married;tertiary;318;0;1;0
61;married;tertiary;5157;0;0;0
37;divorced;tertiary;1762;1;0;0
56;married;secondary;343;0;1;0
46;married;secondary;368;0;0;1
39;divorced;tertiary;1968;0;0;1
27;single;secondary;302;0;0;1
33;single;primary;60;1;0;0
52;married;tertiary;0;0;0;0
45;married;secondary;3092;1;1;0
30;single;secondary;1058;0;0;0
46;married;secondary;53;0;1;0
32;single;secondary;-402;1;0;0
62;married;secondary;3904;0;0;1
24;single;secondary;1123;0;0;1
47;single;tertiary;159;0;0;1
32;single;secondary;5;1;1;0
38;married;primary;3289;0;0;0
36;single;tertiary;391;1;0;0
73;divorced;secondary;7111;1;0;1
55;divorced;tertiary;0;1;0;0
57;married;primary;3109;0;0;1
25;single;primary;129;0;0;1
62;married;secondary;569;0;0;1
