customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;
2927-QRRQV;Male;0;1;0;46;1;Fiber optic;0;1;1;0;1;0;One year;1;Electronic check;9465;43125;0;0.95415505
5327-CNLUQ;Male;0;1;0;48;1;Fiber optic;1;1;1;0;1;0;Two year;1;Bank transfer (automatic);969;447345;0;0.478075873
3190-XFANI;Male;0;0;1;49;1;Fiber optic;0;0;0;1;1;1;One year;1;Bank transfer (automatic);1006;506965;1;0.163097164
6357-JJPQT;Female;0;0;0;3;1;Fiber optic;0;0;0;0;1;0;Month-to-month;1;Electronic check;805;23235;0;0.055990864
1750-CSKKM;Male;0;0;1;9;1;DSL;0;0;0;0;1;0;Month-to-month;0;Electronic check;5535;44975;1;0.152370616
8784-CGILN;Female;0;0;0;18;1;Fiber optic;0;0;0;1;1;1;Month-to-month;1;Bank transfer (automatic);9985;177695;1;0.028005855
7394-FKDNK;Female;0;1;0;9;1;Fiber optic;0;0;0;0;1;1;Month-to-month;0;Electronic check;8945;8531;1;0.496967075
6583-KQJLK;Female;1;1;0;15;1;Fiber optic;0;1;0;0;1;1;Month-to-month;1;Electronic check;9465;128505;0;0.170095932
9529-OFXHY;Male;0;0;0;15;1;Fiber optic;1;0;0;0;1;0;Month-to-month;1;Bank transfer (automatic);8775;12422;0;0.465701446
9898-KZQDZ;Female;1;1;1;40;1;Fiber optic;0;0;0;0;1;1;Month-to-month;1;Credit card (automatic);9455;364045;1;0.16021074
3422-LYEPQ;Male;0;1;1;1;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;71;71;1;0.291533939
8647-SDTWQ;Male;0;1;1;57;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;743;401835;0;0.769339466
8774-GSBUN;Male;0;1;0;72;1;No;0;0;0;0;0;0;Two year;0;Mailed check;254;17971;0;0.291270889
