total_case;death
278;6
310;6
574;17
835;25
1297;41
1985;56
2761;80
4537;106
5997;132
7736;170
9720;213
11821;259
14411;304
17238;361
20471;425
24363;491
28060;564
31211;637
34598;723
37251;812
40235;909
42708;1017
44730;1114
46550;1368
48548;1381
50054;1524
51174;1666
70635;1772
72528;1870
74280;2006
74675;2121
75569;2239
76392;2348
77042;2445
77262;2595
77780;2666
78191;2718
78630;2747
78961;2791
79394;2838
79968;2873
80174;2915
80304;2946
80422;2984
80565;3015
80711;3045
80813;3073
80859;3100
80904;3123
80924;3140
80955;3162
80981;3173
