source;target
fever;pneumonia
fever;cough
fever;weakness
fever;anorexia
fever;fatigue
fever;muscular_soreness
fever;chest_tightness
fever;nausea
fever;chills
fever;malaise
fever;joint_pain
fever;headache
fever;sore_throat
fever;muscle_aches
fever;runny_nose
fever;sputum
fever;myalgia
fever;shortness_of_breath
fever;high_fever
fever;weak
fever;phlegm
fever;low_fever
fever;respiratory_symptoms
pneumonia;fever
pneumonia;cough
pneumonia;pneumonitis
cough;fever
cough;pneumonia
cough;weakness
cough;fatigue
cough;muscular_soreness
cough;dyspnea
cough;chest_tightness
cough;chills
cough;malaise
cough;headache
cough;sore_throat
cough;runny_nose
cough;sputum
cough;myalgia
cough;shortness_of_breath
cough;high_fever
cough;phlegm
cough;low_fever
weakness;fever
weakness;cough
anorexia;asymptomatic
fatigue;fever
fatigue;cough
fatigue;asymptomatic
fatigue;chills
muscular_soreness;fever
muscular_soreness;myalgia
dyspnea;fever
dyspnea;cough
chest_pain;discomfort
chest_tightness;fever
chest_tightness;dyspnea
nausea;fever
nausea;pneumonia
nausea;cough
nausea;vomiting
chills;fever
chills;cough
chills;fatigue
chills;headache
chills;sore_throat
malaise;fever
malaise;cough
malaise;high_fever
malaise;low_fever
joint_pain;fever
diarrhea;fever
headache;fever
headache;cough
headache;low_fever
sore_throat;fever
sore_throat;cough
sore_throat;chills
sore_throat;sputum
runny_nose;fever
runny_nose;cough
discomfort;fever
sputum;fever
sputum;cough
myalgia;fever
myalgia;cough
shortness_of_breath;fever
shortness_of_breath;cough
high_fever;cough
high_fever;malaise
high_fever;joint_pain
phlegm;fever
phlegm;cough
dry_throat;fever
low_fever;fever
low_fever;cough
low_fever;malaise
low_fever;headache
low_fever;sore_throat
respiratory_symptoms;fever
pneumonitis;respiratory_symptoms
