purchases;credit_limit
95.4;1000
0;7000
773.17;7500
1499;7500
16;1200
1333.28;1800
7091.01;13500
436.2;2300
861.49;7000
1281.6;11000
920.12;1200
1492.18;2000
3217.99;3000
2137.93;7500
0;3000
1611.7;8000
0;3000
519;2500
504.35;13000
398.64;4000
176.68;2000
6359.95;11250
815.9;1800
4248.35;9000
0;6000
399.6;3000
102;1700
233.28;1000
387.05;10500
100;6900
3038.01;13000
1347.71;6000
324.95;10500
636.79;1200
547.28;11000
0;1800
0;9000
2380.55;5000
204;9000
963.24;7500
0;1800
1526.59;3000
203.82;4500
0;1500
1525.44;8500
437;2400
109.74;1700
0;4200
2390.6;3300
507.5;4000
901.42;12000
3107.85;2500
0;3500
1979.22;3000
310;1000
1283.9;6000
313.27;4000
5217.62;7500
0;4000
229;6000
113;6500
66.2;1600
0;4150
840;1600
1887.64;1850
412.33;1800
0;1500
0;2500
263.5;6000
1363.69;1700
419.1;6250
4523.27;7000
0;7000
713.9;2250
791.94;6000
561.87;6000
606.11;11000
320;1500
0;1200
388.66;7000
244.85;5000
0;9500
133.05;12000
396;1200
4915.6;9000
1247.8;16500
1603.78;11000
2258.01;13500
45;4500
0;6500
5100.07;9000
1032.04;4000
45.65;1800
405.6;2400
213.34;2400
0;1200
739.44;6000
0;4000
79;7000
0;3000
20;1500
1346.28;2000
2823.8;5700
389.96;4500
0;4000
808;4000
941.64;2500
0;8000
423.7;2000
4478.75;9000
1354.86;5500
0;4200
2812.2;8500
0;7000
1508.9;5000
1045.57;3000
2309.78;6500
0;1800
495;7000
0;3000
6724.26;17000
1174.39;9000
5580.85;8500
0;3200
0;19000
12462.44;2800
0;1200
1957.3;5000
150.64;17000
0;13000
907;5000
1271.12;5000
250.6;3000
796.33;13000
440;4000
1330.62;2000
5491.79;17000
897.86;1200
22009.92;18000
720.6;2500
197.06;1000
0;7500
0;7000
2084.48;21500
5779.36;6500
1025;7500
689.7;10000
28.65;9000
944.96;1500
1039.2;13500
4059.93;7000
4075.37;6500
870.24;8000
9792.23;20000
2463.12;4000
1859.34;20000
3488.49;7900
0;1800
7283.31;11000
295;1200
0;3000
0;8500
648.22;1200
557.19;4000
469.98;1000
0;6500
131.64;8000
5078.14;15000
924.6;1000
1975.4;4000
0;4000
10221.35;10500
300;12500
0;3000
5715;14000
0;1800
766.61;2300
0;3000
3535.8;20000
256.11;5300
2697.48;2500
23;5000
117;4500
196.81;12000
653.73;10000
2009.05;1200
147.78;6000
516.54;900
969.56;2400
311.45;1500
280.4;6150
66.14;6000
79.2;4000
1453.32;16500
756.54;4000
3507.35;11500
3163.69;8000
1343.19;15000
873;8000
47.55;6000
370;23000
405.75;2000
261.64;4000
1989.28;14000
10848.5;7500
43.39;4000
645.32;1800
987.1;10500
1464.14;11500
927;5000
393.62;10000
965.5;7500
0;7500
336.41;6000
540;4000
36;7500
878.52;1500
144.26;11500
493.85;2000
4490.69;8500
11188.62;10000
1829.2;7000
75.99;2700
1824.16;14500
9325.22;8500
100;4000
1431.89;4000
2260.41;8500
0;1200
10410.49;19500
990.7;1400
3034.92;2900
1038.81;5700
45.65;2500
2641.98;3000
1189.52;8000
300;12000
126.69;10500
247.09;5500
301.1;1950
1112.2;7200
2410.07;4000
5350.19;8000
630.03;5500
3197.24;3000
133;3000
1646.16;12000
79.66;1500
319.92;12000
3677.52;12500
1041.63;4000
675.96;1000
193.14;2000
1703.23;11500
0;6000
234.16;1500
29.68;10000
1322.67;11000
1607.88;13500
0;1800
3183;9000
3014.23;4500
7323.38;3000
8533.54;10000
408.93;9000
3999.92;7500
2980.46;6000
560.73;7500
569.9;9500
6186.77;10950
4550.81;8500
150.8;7500
1385.1;14000
32539.78;11500
410.24;16500
47.95;1500
126.57;2100
380.89;5700
414;10500
2010;8500
4693.15;13500
498.96;1000
224.2;9500
2856.57;2500
0;3000
0;7000
0;3000
409.63;5000
843.34;6500
0;6000
2236.49;10000
464.51;6000
1779;5000
0;4000
456.36;6000
5758.71;2900
245.98;6000
0;12000
733.9;3000
1641.07;500
674.73;4000
2702.47;11000
0;8000
1579.15;2700
0;11000
2161.38;4500
1482.19;6000
1446.05;3500
0;4500
397.06;2100
498.17;15000
2009.12;2500
5359.02;6000
0;1000
0;5500
0;1000
0;7000
126.2;1950
225;1500
734.97;6000
14.95;5700
874.98;12500
0;7500
