purchases;credit_limit
0;50
0;150
0;150
0;150
0;150
229;150
0;200
15.4;200
230.04;200
0;300
0;300
0;300
30;300
77;300
83;300
280;300
315;300
1176.72;300
1312.35;300
1592.57;300
43.08;300
673.28;300
92.46;300
1764;400
100.98;400
69.5;400
150;450
2487;450
144.9;450
2622.6;450
400.6;450
502.54;450
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
0;500
20;500
20;500
45;500
49;500
55;500
70;500
95;500
125;500
160;500
210;500
245;500
370;500
450;500
487;500
550;500
1006;500
1943;500
1144.35;500
1159.06;500
1186.09;500
1316.06;500
1348.44;500
1455.68;500
146.5;500
1641.07;500
181.5;500
20.9;500
209.2;500
218.59;500
223.34;500
23.75;500
2339.3;500
240.51;500
246.29;500
251.55;500
26.8;500
27.22;500
27.51;500
274.01;500
2749.92;500
312.5;500
364.8;500
366.66;500
385.26;500
397.8;500
4061.96;500
48.78;500
483.27;500
49.85;500
52.5;500
52.68;500
54.25;500
552.66;500
573.2;500
59.8;500
616.67;500
63.4;500
640.48;500
655.15;500
655.73;500
81.2;500
811.11;500
916.04;500
92.16;500
960.09;500
0;600
0;600
0;600
0;600
17;600
57;600
756;600
124.65;600
186.32;600
194.1;600
21.9;600
246.56;600
3228.3;600
326.74;600
393.49;600
442.23;600
518.88;600
567.75;600
674.67;600
704.72;600
868.74;600
3520;650
0;700
0;700
0;700
0;700
0;700
0;700
0;700
105;700
215;700
119.19;700
1429.54;700
165.8;700
1834.5;700
1986.7;700
2073.54;700
239.71;700
511.34;700
622.44;700
71.48;700
74.42;700
0;750
0;750
35.8;750
0;800
0;800
365;800
158.95;800
2811.86;800
351.88;800
529.7;800
56.42;800
860.95;800
0;900
0;900
158;900
1524.65;900
19.88;900
1902.4;900
516.54;900
547.46;900
563.39;900
666.68;900
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
0;1000
35;1000
45;1000
50;1000
53;1000
60;1000
60;1000
70;1000
72;1000
78;1000
82;1000
84;1000
84;1000
86;1000
99;1000
100;1000
100;1000
102;1000
103;1000
108;1000
108;1000
108;1000
109;1000
110;1000
110;1000
120;1000
120;1000
124;1000
125;1000
126;1000
135;1000
144;1000
149;1000
150;1000
150;1000
155;1000
175;1000
176;1000
178;1000
178;1000
180;1000
180;1000
180;1000
195;1000
197;1000
210;1000
