age;credit_amount
75;6615
75;1374
74;4526
74;5129
74;1299
74;3448
70;7308
68;6761
68;1175
68;14896
67;3872
67;1199
67;1169
66;1908
66;1526
66;1480
66;766
66;790
65;3394
65;571
65;2600
65;1098
65;930
64;2384
64;1409
64;1364
64;3832
64;753
63;13756
63;6836
63;7596
63;2957
63;2924
63;1520
63;1655
63;781
62;3757
62;1338
61;1953
61;2767
61;1239
61;1512
61;3059
61;2012
61;1255
60;14782
60;2032
60;1940
60;1199
60;6468
60;2246
59;6416
59;5045
59;1364
58;15945
58;6143
58;1867
58;1755
58;385
57;14318
57;2225
57;3622
57;1258
57;1231
57;2748
57;1264
57;709
57;1154
56;4796
56;618
56;1538
55;9283
55;6872
55;1603
55;1190
55;2578
55;1555
55;1424
55;1413
54;3051
54;7432
54;4591
54;2255
54;1597
54;717
54;3568
54;1409
54;1318
54;672
53;7119
53;7485
53;4870
53;2835
53;2424
53;7865
53;795
52;2223
52;6468
52;3077
52;2133
52;717
52;2315
52;936
52;362
52;338
51;3342
51;2892
51;7511
51;682
51;4771
51;2507
51;1164
51;1595
50;7476
50;6224
50;2671
50;5293
50;3777
50;1559
50;2241
50;1537
50;2390
50;1574
50;1236
50;1047
49;8386
49;3656
49;2964
49;1445
49;5801
49;3124
49;2331
49;2096
49;1262
49;1092
49;640
49;1038
49;1126
49;428
48;12204
48;5190
48;9277
48;4351
48;1743
48;1024
48;1795
48;1082
48;2241
48;1240
48;2134
48;1288
47;3578
47;12612
47;8335
47;3017
47;5103
47;2538
47;1377
47;2353
47;3422
47;1984
47;1217
47;1316
47;1213
47;1393
47;958
47;731
47;1209
46;7629
46;6331
46;3931
46;2348
46;6842
46;2611
46;2476
46;1582
46;1149
46;3594
46;1845
46;1829
46;2251
46;1223
46;697
46;727
46;730
46;1343
45;7882
45;8588
45;10875
45;3835
45;4006
45;2303
45;3049
45;1300
45;8978
45;3527
45;339
45;1287
45;2329
45;6761
45;1750
44;10127
44;12579
44;6419
44;5943
44;5507
44;2375
44;3485
44;6204
44;1553
44;1478
44;1881
44;1804
44;1163
44;760
44;4716
44;3384
44;2647
43;15857
43;2442
43;7393
43;4057
43;4042
43;2197
43;1516
43;1333
43;2899
43;2515
43;1533
43;2625
43;1459
43;4843
43;1935
43;1344
43;1203
42;10366
42;6288
42;7763
42;10477
42;8086
42;5493
42;3804
42;3446
42;8318
42;5084
42;1965
42;4153
42;2427
42;3331
42;2577
42;2292
42;522
42;409
42;1346
42;1544
42;1503
42;1455
41;3979
41;5954
41;2712
41;2503
41;6313
41;3868
41;1469
41;3160
41;2580
41;6361
41;1503
41;888
41;719
41;1244
41;2116
41;662
41;250
40;5381
40;7678
40;1977
40;3857
40;3077
40;7824
40;1585
40;1358
40;2675
40;1647
40;7374
40;4297
40;3590
40;3001
40;4623
40;1905
40;1386
40;1155
40;701
40;684
40;3939
40;1322
40;1597
40;894
40;1361
39;9436
39;10297
39;3249
39;2299
39;2522
39;11938
39;3345
39;1188
39;2212
39;6458
39;1473
39;1271
39;2122
39;1884
39;1037
39;7228
39;3398
39;932
39;860
39;666
39;426
38;6681
38;3914
38;2751
38;5711
38;10623
38;5954
38;7814
38;3512
38;1533
38;1216
38;947
38;12976
38;3229
38;1308
38;2859
38;2171
38;1495
38;1240
38;926
38;804
38;754
38;708
38;1924
38;368
37;12749
37;10222
37;7685
37;12389
37;7409
37;3620
37;3535
37;1819
37;4712
37;3878
37;2022
37;1344
37;1287
37;3612
37;2100
37;802
37;3565
37;3399
37;2279
37;1922
37;1402
37;1274
37;3949
37;1225
37;2118
37;1154
37;3676
37;609
37;3380
36;7297
36;12169
36;4042
36;6304
36;3079
36;2337
36;909
36;6742
36;2181
36;3915
36;6967
36;4241
36;2872
36;2760
36;1278
36;1275
36;3275
36;1572
36;7057
36;5302
36;4165
36;1940
36;1913
36;1028
36;884
36;2360
36;1721
36;1262
36;2366
36;2247
36;1542
36;1372
36;3905
36;2799
36;846
36;1872
36;1374
36;1238
36;700
35;8858
35;10722
35;9055
35;6948
35;5842
35;7253
35;4679
35;4151
35;2684
35;2670
35;2439
35;2397
35;2346
35;1381
35;3976
35;4380
35;3780
35;1941
35;5324
35;2728
35;1979
35;1471
35;1410
35;3447
35;3386
35;2141
35;1680
35;1592
35;1291
35;976
35;691
35;1393
35;1418
35;2753
35;1919
35;1549
35;2576
35;1204
35;1198
35;1050
34;6527
34;6999
34;3844
34;3965
34;6614
34;5800
34;4454
34;1842
34;11998
34;3496
34;2910
34;2825
34;2578
34;2064
34;1837
34;1525
34;1591
34;2864
34;2622
34;2320
34;1950
34;6850
34;1569
34;3017
34;2759
34;1860
