customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
7590-VHVEG;Female;0;1;0;1;0;DSL;0;1;0;0;0;0;Month-to-month;1;Electronic check;2985;2985;0
5575-GNVDE;Male;0;0;0;34;1;DSL;1;0;1;0;0;0;One year;0;Mailed check;5695;18895;0
3668-QPYBK;Male;0;0;0;2;1;DSL;1;1;0;0;0;0;Month-to-month;1;Mailed check;5385;10815;1
7795-CFOCW;Male;0;0;0;45;0;DSL;1;0;1;1;0;0;One year;0;Bank transfer (automatic);423;184075;0
9237-HQITU;Female;0;0;0;2;1;Fiber optic;0;0;0;0;0;0;Month-to-month;1;Electronic check;707;15165;1
9305-CDSKC;Female;0;0;0;8;1;Fiber optic;0;0;1;0;1;1;Month-to-month;1;Electronic check;9965;8205;1
1452-KIOVK;Male;0;0;1;22;1;Fiber optic;0;1;0;0;1;0;Month-to-month;1;Credit card (automatic);891;19494;0
6713-OKOMC;Female;0;0;0;10;0;DSL;1;0;0;0;0;0;Month-to-month;0;Mailed check;2975;3019;0
7892-POOKP;Female;0;1;0;28;1;Fiber optic;0;0;1;1;1;1;Month-to-month;1;Electronic check;1048;304605;1
6388-TABGU;Male;0;0;1;62;1;DSL;1;1;0;0;0;0;One year;0;Bank transfer (automatic);5615;348795;0
9763-GRSKD;Male;0;1;1;13;1;DSL;1;0;0;0;0;0;Month-to-month;1;Mailed check;4995;58745;0
7469-LKBCI;Male;0;0;0;16;1;No;0;0;0;0;0;0;Two year;0;Credit card (automatic);1895;3268;0
8091-TTVAX;Male;0;1;0;58;1;Fiber optic;0;0;1;0;1;1;One year;0;Credit card (automatic);10035;56811;0
0280-XJGEX;Male;0;0;0;49;1;Fiber optic;0;1;1;0;1;1;Month-to-month;1;Bank transfer (automatic);1037;50363;1
5129-JLPIS;Male;0;0;0;25;1;Fiber optic;1;0;1;1;1;1;Month-to-month;1;Electronic check;1055;268605;0
3655-SNQYZ;Female;0;1;1;69;1;Fiber optic;1;1;1;1;1;1;Two year;0;Credit card (automatic);11325;789515;0
8191-XWSZG;Female;0;0;0;52;1;No;0;0;0;0;0;0;One year;0;Mailed check;2065;102295;0
9959-WOFKT;Male;0;0;1;71;1;Fiber optic;1;0;1;0;1;1;Two year;0;Bank transfer (automatic);1067;738225;0
4190-MFLUW;Female;0;1;1;10;1;DSL;0;0;1;1;0;0;Month-to-month;0;Credit card (automatic);552;52835;1
4183-MYFRB;Female;0;0;0;21;1;Fiber optic;0;1;1;0;0;1;Month-to-month;1;Electronic check;9005;18629;0
8779-QRDMV;Male;1;0;0;1;0;DSL;0;0;1;0;0;1;Month-to-month;1;Electronic check;3965;3965;1
1680-VDCWW;Male;0;1;0;12;1;No;0;0;0;0;0;0;One year;0;Bank transfer (automatic);198;20225;0
1066-JKSGK;Male;0;0;0;1;1;No;0;0;0;0;0;0;Month-to-month;0;Mailed check;2015;2015;1
3638-WEABW;Female;0;1;0;58;1;DSL;0;1;0;1;0;0;Two year;1;Credit card (automatic);599;35051;0
