age;balance
19;1169
19;302
19;103
19;0
20;1191
20;502
20;291
21;6844
21;2488
21;1903
21;681
21;361
21;137
21;6
22;4111
22;3472
22;2488
22;1161
22;691
22;549
22;333
22;246
22;47
23;9216
23;8627
23;8627
23;8494
23;1158
23;1129
23;1021
23;817
23;780
23;736
23;598
23;589
23;500
23;363
23;250
23;5
23;4
23;-19
23;-230
23;-306
24;4500
24;3298
24;1847
24;1222
24;926
24;822
24;556
24;508
24;431
24;366
24;299
24;204
24;174
24;172
24;119
24;111
24;110
24;77
24;9
24;0
24;0
24;-46
24;-220
24;-254
29;-76
31;4945
40;-375
31;462
34;1897
35;4508
32;230
36;198
36;0
27;451
37;0
29;22171
34;197
30;1743
28;416
32;3601
36;613
30;363
30;1317
40;1836
36;1283
33;0
30;1942
27;259
32;1464
32;116
40;1548
40;4384
34;455
25;220
40;0
39;-540
27;376
26;3672
29;33
37;1978
38;12877
29;858
30;1380
32;705
38;2278
36;760
26;-8
35;0
31;413
29;-20
32;930
36;1746
32;2400
40;502
39;-405
33;3696
34;8309
40;4795
28;198
39;879
40;11084
39;687
34;5039
38;526
34;1386
39;98
30;-218
32;0
36;23
40;1451
27;-148
33;1158
32;66
40;2805
34;228
37;4153
26;-402
37;61
25;553
31;1014
27;54
39;585
28;2034
35;376
40;1136
33;137
29;1026
37;511
40;2715
39;209
28;1633
32;795
34;1281
39;399
26;96
29;309
36;61
25;-350
36;1174
32;2881
32;697
31;574
38;361
33;137
38;156
35;298
34;852
34;0
25;343
29;318
38;3576
32;1583
31;2304
28;1466
29;-102
34;586
31;1407
26;179
27;76
39;270
35;8647
40;445
35;980
34;1557
40;167
27;769
40;1734
33;1808
37;3242
36;-872
33;706
37;1633
31;589
35;262
27;1566
39;385
33;353
26;0
32;0
40;169
27;1577
40;9374
36;123
30;673
30;699
31;64
35;3636
34;5060
37;11303
31;428
39;8
30;-770
32;950
33;641
32;889
26;265
37;715
32;167
29;1070
33;23663
32;152
38;-558
40;1509
28;882
40;888
39;278
40;168
32;14533
34;0
32;2
39;2763
26;279
26;802
37;0
31;609
38;171
36;1169
35;1253
32;4761
36;16430
36;0
31;1343
29;15459
40;0
31;3283
36;307
31;1214
27;100
32;135
39;-276
37;504
26;1347
33;1165
29;596
30;79
25;3217
26;2469
39;157
38;2998
34;18
38;76
37;23
26;3342
