Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose
22;female;skilled;own;little;moderate;5951;48;radio/TV
45;male;skilled;free;little;little;7882;42;furniture/equipment
53;male;skilled;free;little;little;4870;24;car
35;male;highly_skilled;rent;little;moderate;6948;36;car
28;male;highly_skilled;own;little;moderate;5234;30;car
25;female;skilled;rent;little;moderate;1295;12;car
24;female;skilled;rent;little;little;4308;48;business
22;female;skilled;own;little;moderate;1567;12;radio/TV
60;male;unskilled_resident;own;little;little;1199;24;car
28;female;skilled;rent;little;little;1403;15;car
44;female;highly_skilled;free;little;moderate;12579;24;car
48;male;unskilled_resident;rent;little;little;2241;10;car
36;male;unskilled_resident;own;little;little;1374;6;furniture/equipment
34;male;skilled;own;little;moderate;2415;7;radio/TV
63;male;skilled;own;little;little;6836;60;business
27;male;skilled;own;little;little;4020;24;furniture/equipment
33;female;highly_skilled;own;little;rich;1474;12;furniture/equipment
25;male;unskilled_resident;own;little;moderate;4746;45;radio/TV
37;male;skilled;own;little;rich;2100;18;radio/TV
37;male;skilled;own;little;rich;1225;10;domestic appliances
24;male;skilled;own;little;moderate;458;9;radio/TV
44;male;unskilled_resident;own;little;moderate;6204;18;repairs
58;female;unskilled_resident;free;little;little;6143;48;car
30;male;highly_skilled;own;little;moderate;5965;27;car
57;male;skilled;free;little;moderate;2225;36;car
23;female;highly_skilled;own;little;rich;1961;18;car
23;female;unskilled_resident;rent;little;little;6229;36;furniture/equipment
27;male;skilled;own;little;moderate;1391;9;business
61;male;highly_skilled;free;little;moderate;1953;36;business
25;male;skilled;own;little;moderate;14421;48;business
51;male;highly_skilled;free;little;little;1164;8;vacation/others
41;female;unskilled_resident;own;little;moderate;5954;42;business
66;male;highly_skilled;free;little;little;1526;12;car
34;male;skilled;own;little;little;3965;42;radio/TV
51;male;skilled;own;little;moderate;4771;11;radio/TV
22;male;skilled;own;little;moderate;3832;30;furniture/equipment
58;female;unskilled_resident;own;little;little;1755;24;vacation/others
52;male;unskilled_resident;own;little;little;2315;10;radio/TV
27;female;skilled;own;little;moderate;1295;18;furniture/equipment
28;male;skilled;own;little;little;1108;12;repairs
54;male;skilled;own;little;little;1409;12;car
58;male;skilled;rent;little;moderate;15945;54;business
36;male;skilled;own;little;moderate;2337;36;radio/TV
24;male;skilled;rent;little;moderate;2323;36;radio/TV
35;male;skilled;rent;little;moderate;1919;9;furniture/equipment
39;male;highly_skilled;own;little;moderate;11938;24;vacation/others
32;male;skilled;own;little;moderate;6078;12;car
23;female;skilled;rent;little;rich;392;15;education
28;male;unskilled_resident;rent;little;moderate;6260;18;car
25;female;skilled;own;little;little;1835;21;radio/TV
63;male;skilled;free;little;rich;781;10;car
30;male;skilled;own;little;little;2121;12;car
40;male;unskilled_resident;own;little;little;701;12;radio/TV
30;male;skilled;own;little;moderate;639;12;repairs
34;male;highly_skilled;own;little;moderate;1860;12;car
29;female;skilled;own;little;little;3499;12;car
29;male;skilled;own;little;little;6887;36;education
44;female;unskilled_resident;rent;little;rich;1881;12;radio/TV
30;female;highly_skilled;own;little;moderate;4795;36;radio/TV
27;male;highly_skilled;own;little;little;3416;27;radio/TV
22;male;skilled;own;little;little;2462;18;furniture/equipment
39;female;skilled;own;little;little;860;6;car
28;male;skilled;own;little;little;5371;36;furniture/equipment
24;male;skilled;own;little;rich;5848;36;radio/TV
20;female;skilled;rent;little;little;1282;12;furniture/equipment
45;male;unskilled_resident;own;little;little;339;12;education
70;male;highly_skilled;free;little;moderate;7308;10;car
33;female;skilled;own;little;little;1131;18;furniture/equipment
31;male;skilled;own;little;moderate;1935;24;business
33;male;skilled;rent;little;little;950;15;car
34;female;highly_skilled;own;little;moderate;2064;24;furniture/equipment
33;male;skilled;own;little;moderate;1414;8;radio/TV
26;male;skilled;own;little;little;3414;21;education
42;male;skilled;own;little;little;2577;12;furniture/equipment
65;male;skilled;own;little;little;571;21;car
30;male;highly_skilled;own;little;moderate;4455;36;business
36;male;skilled;own;little;moderate;884;18;car
74;female;highly_skilled;free;little;moderate;5129;9;car
68;male;unskilled_non-resident;free;little;moderate;1175;16;car
33;female;skilled;own;little;moderate;3244;18;furniture/equipment
36;male;skilled;own;little;moderate;3915;27;business
34;female;highly_skilled;own;little;moderate;1501;9;education
40;male;highly_skilled;own;little;moderate;4297;18;furniture/equipment
27;male;unskilled_resident;own;little;little;1168;12;car
21;male;skilled;rent;little;little;902;12;education
38;male;highly_skilled;free;little;little;10623;30;car
26;male;skilled;own;little;moderate;1424;12;domestic appliances
21;male;unskilled_resident;own;little;little;6568;24;business
50;male;skilled;own;little;little;5293;27;business
66;male;highly_skilled;own;little;rich;1908;30;business
31;male;skilled;own;little;little;3104;18;business
23;male;skilled;own;little;rich;3913;36;radio/TV
24;male;unskilled_resident;rent;little;little;3021;24;furniture/equipment
26;male;unskilled_resident;own;little;moderate;625;12;radio/TV
53;male;highly_skilled;free;little;little;7865;12;furniture/equipment
22;male;skilled;free;little;little;3149;24;furniture/equipment
26;male;skilled;own;little;rich;4210;36;radio/TV
25;male;unskilled_resident;own;little;moderate;866;18;radio/TV
