age;sex;job;housing;saving;checking;creditamount;duration;purpose;risk
22;female;2;own;little;moderate;5951;48;radio/TV;0
45;male;2;free;little;little;7882;42;furniture/equipment;1
53;male;2;free;little;little;4870;24;car;0
35;male;3;rent;little;moderate;6948;36;car;1
28;male;3;own;little;moderate;5234;30;car;0
25;female;2;rent;little;moderate;1295;12;car;0
24;female;2;rent;little;little;4308;48;business;0
22;female;2;own;little;moderate;1567;12;radio/TV;1
60;male;1;own;little;little;1199;24;car;0
28;female;2;rent;little;little;1403;15;car;1
32;female;1;own;moderate;little;1282;24;radio/TV;0
44;female;3;free;little;moderate;12579;24;car;0
44;male;2;rent;quite rich;little;2647;6;radio/TV;1
48;male;1;rent;little;little;2241;10;car;1
44;male;2;own;moderate;moderate;1804;12;car;1
36;male;1;own;little;little;1374;6;furniture/equipment;1
42;female;2;rent;rich;rich;409;12;radio/TV;1
34;male;2;own;little;moderate;2415;7;radio/TV;1
63;male;2;own;little;little;6836;60;business;0
36;male;2;own;rich;moderate;1913;18;business;1
27;male;2;own;little;little;4020;24;furniture/equipment;1
30;male;2;own;moderate;moderate;5866;18;car;1
33;female;3;own;little;rich;1474;12;furniture/equipment;1
25;male;1;own;little;moderate;4746;45;radio/TV;0
37;male;2;own;little;rich;2100;18;radio/TV;0
37;male;2;own;little;rich;1225;10;domestic appliances;1
24;male;2;own;little;moderate;458;9;radio/TV;1
26;male;2;own;quite rich;moderate;1158;12;radio/TV;1
44;male;1;own;little;moderate;6204;18;repairs;1
24;male;2;rent;moderate;little;6187;30;car;1
58;female;1;free;little;little;6143;48;car;0
23;female;0;rent;quite rich;little;1352;6;car;1
30;male;3;own;little;moderate;5965;27;car;1
57;male;2;free;little;moderate;2225;36;car;0
23;female;3;own;little;rich;1961;18;car;1
23;female;1;rent;little;little;6229;36;furniture/equipment;0
27;male;2;own;little;moderate;1391;9;business;1
61;male;3;free;little;moderate;1953;36;business;0
25;male;2;own;little;moderate;14421;48;business;0
22;male;2;own;rich;moderate;1007;12;car;1
51;male;3;free;little;little;1164;8;vacation/others;1
41;female;1;own;little;moderate;5954;42;business;1
66;male;3;free;little;little;1526;12;car;1
34;male;2;own;little;little;3965;42;radio/TV;0
51;male;2;own;little;moderate;4771;11;radio/TV;1
22;male;2;own;little;moderate;3832;30;furniture/equipment;1
58;female;1;own;little;little;1755;24;vacation/others;1
52;male;1;own;little;little;2315;10;radio/TV;1
27;female;2;own;little;moderate;1295;18;furniture/equipment;1
47;male;2;free;moderate;moderate;12612;36;education;0
30;male;3;own;moderate;little;2249;18;car;1
28;male;2;own;little;little;1108;12;repairs;0
54;male;2;own;little;little;1409;12;car;1
54;male;2;own;rich;moderate;1318;12;car;1
58;male;2;rent;little;moderate;15945;54;business;0
34;male;2;own;moderate;moderate;2622;18;business;1
36;male;2;own;little;moderate;2337;36;radio/TV;1
24;male;2;rent;little;moderate;2323;36;radio/TV;1
35;male;2;rent;little;moderate;1919;9;furniture/equipment;1
39;male;3;own;little;moderate;11938;24;vacation/others;0
32;male;2;own;little;moderate;6078;12;car;1
35;male;2;own;quite rich;moderate;1410;14;business;1
31;male;2;own;moderate;moderate;1449;6;business;1
23;female;2;rent;little;rich;392;15;education;1
28;male;1;rent;little;moderate;6260;18;car;1
35;male;2;own;quite rich;little;1680;12;radio/TV;1
23;female;2;own;quite rich;little;4281;33;furniture/equipment;0
36;male;3;own;quite rich;moderate;2366;12;car;1
25;female;2;own;little;little;1835;21;radio/TV;0
63;male;2;free;little;rich;781;10;car;1
30;male;2;own;little;little;2121;12;car;1
40;male;1;own;little;little;701;12;radio/TV;1
30;male;2;own;little;moderate;639;12;repairs;0
34;male;3;own;little;moderate;1860;12;car;1
29;female;2;own;little;little;3499;12;car;0
29;male;2;own;little;little;6887;36;education;0
66;male;1;own;quite rich;moderate;766;12;radio/TV;0
44;female;1;rent;little;rich;1881;12;radio/TV;1
27;male;0;own;rich;rich;709;6;car;1
30;female;3;own;little;moderate;4795;36;radio/TV;1
27;male;3;own;little;little;3416;27;radio/TV;1
22;male;2;own;little;little;2462;18;furniture/equipment;0
30;male;2;own;moderate;moderate;3566;48;business;1
39;female;2;own;little;little;860;6;car;1
28;male;2;own;little;little;5371;36;furniture/equipment;1
24;male;2;own;little;rich;5848;36;radio/TV;1
29;female;2;rent;rich;moderate;7758;24;car;1
36;male;3;rent;moderate;moderate;6967;24;business;1
20;female;2;rent;little;little;1282;12;furniture/equipment;0
48;male;2;own;moderate;little;1288;9;repairs;1
45;male;1;own;little;little;339;12;education;1
38;male;2;own;moderate;moderate;3512;24;car;1
70;male;3;free;little;moderate;7308;10;car;1
33;female;2;own;little;little;1131;18;furniture/equipment;0
20;female;2;own;rich;moderate;1577;11;furniture/equipment;1
31;male;2;own;little;moderate;1935;24;business;0
33;male;2;rent;little;little;950;15;car;0
34;female;3;own;little;moderate;2064;24;furniture/equipment;0
33;male;2;own;little;moderate;1414;8;radio/TV;1
