age;sex;job;housing;saving;checking;creditamount;duration;purpose;risk
67;male;2;own;unknown;little;1169;6;radio/TV;1
22;female;2;own;little;moderate;5951;48;radio/TV;0
49;male;1;own;little;unknown;2096;12;education;1
45;male;2;free;little;little;7882;42;furniture/equipment;1
53;male;2;free;little;little;4870;24;car;0
35;male;1;free;unknown;unknown;9055;36;education;1
53;male;2;own;quiterich;unknown;2835;24;furniture/equipment;1
35;male;3;rent;little;moderate;6948;36;car;1
61;male;1;own;rich;unknown;3059;12;radio/TV;1
28;male;3;own;little;moderate;5234;30;car;0
25;female;2;rent;little;moderate;1295;12;car;0
24;female;2;rent;little;little;4308;48;business;0
22;female;2;own;little;moderate;1567;12;radio/TV;1
60;male;1;own;little;little;1199;24;car;0
28;female;2;rent;little;little;1403;15;car;1
32;female;1;own;moderate;little;1282;24;radio/TV;0
53;male;2;own;unknown;unknown;2424;24;radio/TV;1
25;male;2;own;unknown;little;8072;30;business;1
44;female;3;free;little;moderate;12579;24;car;0
31;male;2;own;quiterich;unknown;3430;24;radio/TV;1
48;male;2;own;little;unknown;2134;9;car;1
44;male;2;rent;quiterich;little;2647;6;radio/TV;1
48;male;1;rent;little;little;2241;10;car;1
44;male;2;own;moderate;moderate;1804;12;car;1
26;male;2;own;unknown;unknown;2069;10;furniture/equipment;1
36;male;1;own;little;little;1374;6;furniture/equipment;1
39;male;1;own;little;unknown;426;6;radio/TV;1
42;female;2;rent;rich;rich;409;12;radio/TV;1
34;male;2;own;little;moderate;2415;7;radio/TV;1
63;male;2;own;little;little;6836;60;business;0
36;male;2;own;rich;moderate;1913;18;business;1
27;male;2;own;little;little;4020;24;furniture/equipment;1
30;male;2;own;moderate;moderate;5866;18;car;1
57;male;1;rent;unknown;unknown;1264;12;business;1
33;female;3;own;little;rich;1474;12;furniture/equipment;1
25;male;1;own;little;moderate;4746;45;radio/TV;0
31;male;2;free;little;unknown;6110;48;education;1
37;male;2;own;little;rich;2100;18;radio/TV;0
37;male;2;own;little;rich;1225;10;domesticappliances;1
24;male;2;own;little;moderate;458;9;radio/TV;1
30;male;3;own;quiterich;unknown;2333;30;radio/TV;1
26;male;2;own;quiterich;moderate;1158;12;radio/TV;1
44;male;1;own;little;moderate;6204;18;repairs;1
24;male;2;rent;moderate;little;6187;30;car;1
58;female;1;free;little;little;6143;48;car;0
35;female;3;own;little;unknown;1393;11;car;1
39;male;2;own;quiterich;unknown;2299;36;radio/TV;1
23;female;0;rent;quiterich;little;1352;6;car;1
39;male;1;own;little;unknown;7228;11;car;1
28;female;2;own;moderate;unknown;2073;12;radio/TV;1
29;male;1;own;unknown;moderate;2333;24;furniture/equipment;1
30;male;3;own;little;moderate;5965;27;car;1
25;male;2;own;little;unknown;1262;12;radio/TV;1
31;male;2;own;unknown;unknown;3378;18;car;1
57;male;2;free;little;moderate;2225;36;car;0
26;male;1;own;unknown;unknown;783;6;car;1
52;male;3;own;unknown;moderate;6468;12;radio/TV;0
31;female;2;own;little;unknown;9566;36;radio/TV;1
23;female;3;own;little;rich;1961;18;car;1
23;female;1;rent;little;little;6229;36;furniture/equipment;0
27;male;2;own;little;moderate;1391;9;business;1
50;male;2;own;unknown;moderate;1537;15;radio/TV;1
61;male;3;free;little;moderate;1953;36;business;0
25;male;2;own;little;moderate;14421;48;business;0
26;female;2;own;little;unknown;3181;24;radio/TV;1
48;male;2;own;unknown;unknown;5190;27;repairs;1
29;female;2;own;little;unknown;2171;12;radio/TV;1
22;male;2;own;rich;moderate;1007;12;car;1
37;male;2;free;little;unknown;1819;36;education;0
25;female;2;own;unknown;unknown;2394;36;radio/TV;1
30;female;2;own;little;unknown;8133;36;car;1
46;male;1;rent;unknown;unknown;730;7;radio/TV;1
51;male;3;free;little;little;1164;8;vacation/others;1
41;female;1;own;little;moderate;5954;42;business;1
40;male;3;own;unknown;little;1977;36;education;0
66;male;3;free;little;little;1526;12;car;1
34;male;2;own;little;little;3965;42;radio/TV;0
51;male;2;own;little;moderate;4771;11;radio/TV;1
39;male;1;own;unknown;unknown;9436;54;car;1
22;male;2;own;little;moderate;3832;30;furniture/equipment;1
44;female;2;own;unknown;unknown;5943;24;radio/TV;0
47;male;2;own;quiterich;unknown;1213;15;radio/TV;1
24;female;1;rent;moderate;unknown;1568;18;business;1
58;female;1;own;little;little;1755;24;vacation/others;1
52;male;1;own;little;little;2315;10;radio/TV;1
29;female;3;own;little;unknown;1412;12;business;1
27;female;2;own;little;moderate;1295;18;furniture/equipment;1
47;male;2;free;moderate;moderate;12612;36;education;0
30;male;3;own;moderate;little;2249;18;car;1
28;male;2;own;little;little;1108;12;repairs;0
56;male;2;own;little;unknown;618;12;radio/TV;1
54;male;2;own;little;little;1409;12;car;1
33;female;1;own;unknown;unknown;797;12;radio/TV;0
20;male;2;rent;unknown;rich;3617;24;furniture/equipment;1
54;male;2;own;rich;moderate;1318;12;car;1
58;male;2;rent;little;moderate;15945;54;business;0
61;female;2;own;unknown;unknown;2012;12;education;1
34;male;2;own;moderate;moderate;2622;18;business;1
36;male;2;own;little;moderate;2337;36;radio/TV;1
36;male;3;rent;unknown;moderate;7057;20;car;1
41;male;1;rent;moderate;unknown;1469;24;car;1
24;male;2;rent;little;moderate;2323;36;radio/TV;1
24;female;2;own;little;unknown;932;6;radio/TV;1
35;male;2;rent;little;moderate;1919;9;furniture/equipment;1
26;male;2;rent;unknown;unknown;2445;12;car;1
39;male;3;own;little;moderate;11938;24;vacation/others;0
39;male;3;own;little;unknown;6458;18;car;0
32;male;2;own;little;moderate;6078;12;car;1
30;female;2;own;unknown;little;7721;24;furniture/equipment;1
35;male;2;own;quiterich;moderate;1410;14;business;1
31;male;2;own;moderate;moderate;1449;6;business;1
23;female;2;rent;little;rich;392;15;education;1
28;male;1;rent;little;moderate;6260;18;car;1
25;female;2;own;little;unknown;7855;36;car;0
35;male;2;own;quiterich;little;1680;12;radio/TV;1
47;male;2;own;unknown;unknown;3578;48;radio/TV;1
30;female;3;own;unknown;little;7174;42;radio/TV;0
27;female;2;rent;unknown;little;2132;10;furniture/equipment;1
23;female;2;own;quiterich;little;4281;33;furniture/equipment;0
36;male;3;own;quiterich;moderate;2366;12;car;1
25;female;2;own;little;little;1835;21;radio/TV;0
41;female;3;rent;little;unknown;3868;24;car;1
