age;sex;job;saving_account;credit_amount;credit_duration;housing
21;male;unskilled;little;1987;24;0
21;female;skilled;little;1049;18;0
24;female;skilled;little;1207;24;0
59;female;skilled;little;6416;48;0
40;male;highly_skilled;little;1905;15;0
36;male;highly_skilled;moderate;6967;24;0
23;female;unskilled;moderate;841;12;0
23;male;skilled;little;1534;12;0
44;male;skilled;rich;2647;6;0
23;male;skilled;little;4110;24;0
25;female;skilled;little;1295;12;0
25;female;skilled;little;1433;15;0
30;male;skilled;little;2002;12;0
43;male;skilled;little;4843;12;0
21;male;skilled;little;902;12;0
36;male;skilled;little;7297;60;0
28;male;highly_skilled;little;9398;36;0
28;female;skilled;moderate;2631;15;0
32;male;skilled;moderate;11760;39;0
39;male;unskilled;little;2122;12;0
20;female;unskilled;little;2718;24;0
22;female;skilled;little;3650;18;0
25;female;skilled;little;2969;12;0
48;male;unskilled;little;2241;10;0
28;female;skilled;little;1403;15;0
22;male;unskilled;little;276;9;0
34;female;highly_skilled;little;3017;12;0
29;female;unskilled;little;1659;24;0
40;male;unskilled;little;684;12;0
28;male;skilled;little;3617;12;0
35;male;highly_skilled;little;6948;36;0
35;male;skilled;little;1919;9;0
31;male;skilled;little;3161;24;0
29;female;unskilled;little;1193;24;0
42;female;skilled;rich;409;12;0
39;male;highly_skilled;little;3345;24;0
33;male;unskilled;little;2384;36;0
24;female;skilled;little;2124;18;0
20;male;highly_skilled;little;1107;12;0
20;male;skilled;little;585;12;0
22;male;skilled;moderate;3092;24;0
57;female;skilled;rich;3622;30;0
33;male;skilled;little;2235;20;0
43;male;skilled;little;2625;16;0
36;male;skilled;little;3905;11;0
26;female;unskilled;little;1778;15;0
24;male;unskilled;little;3021;24;0
37;female;skilled;little;7685;48;0
19;female;unskilled;rich;983;12;0
29;male;skilled;little;11816;45;0
23;female;unskilled;little;6229;36;0
44;male;highly_skilled;little;3384;6;0
26;female;unskilled;moderate;4280;30;0
64;male;unskilled;little;2384;24;0
29;female;skilled;rich;7758;24;0
44;female;unskilled;little;1881;12;0
26;male;skilled;little;2687;15;0
24;male;unskilled;little;1546;24;0
33;female;skilled;little;3966;18;0
20;female;skilled;little;1282;12;0
46;male;skilled;little;1223;12;0
61;male;unskilled;moderate;2767;21;0
22;female;skilled;little;1858;12;0
31;male;skilled;little;2302;36;0
23;female;skilled;moderate;1553;24;0
28;male;skilled;little;6199;12;0
23;female;skilled;little;2406;30;0
33;male;skilled;little;950;15;0
37;male;skilled;little;3676;6;0
22;female;skilled;little;3632;24;0
24;male;skilled;little;2323;36;0
23;female;skilled;little;1442;24;0
29;male;highly_skilled;moderate;9034;36;0
26;female;skilled;little;3114;18;0
58;male;skilled;little;15945;54;0
21;female;skilled;moderate;3441;30;0
30;male;highly_skilled;little;2063;6;0
36;male;skilled;little;2799;9;0
26;female;unskilled;little;3599;21;0
33;male;skilled;little;2319;21;0
23;female;unskilled;rich;1352;6;0
24;female;skilled;little;4308;48;0
23;male;skilled;little;1297;12;0
21;male;skilled;moderate;3031;45;0
27;female;skilled;moderate;951;12;0
23;female;skilled;little;392;15;0
25;male;skilled;rich;3213;18;0
28;male;unskilled;little;6260;18;0
54;female;skilled;little;7432;36;0
23;female;unskilled;little;3234;24;0
24;female;skilled;little;652;12;0
22;female;skilled;little;1366;9;0
23;female;skilled;little;2511;15;0
23;female;unskilled;rich;3758;24;0
24;male;skilled;moderate;6187;30;0
46;female;skilled;little;1845;15;0
28;female;highly_skilled;little;2606;21;0
23;female;skilled;little;1216;18;0
25;male;skilled;moderate;1264;15;0
40;female;skilled;little;3001;18;0
21;male;skilled;little;2779;18;0
28;female;skilled;rich;4113;24;0
57;female;highly_skilled;rich;1231;24;0
24;female;skilled;rich;433;6;0
25;female;skilled;little;1882;18;0
20;female;skilled;little;2039;18;0
23;female;highly_skilled;little;11560;24;0
48;female;unskilled;little;1795;18;0
59;male;skilled;little;1364;9;1
26;male;skilled;rich;1158;12;1
33;female;skilled;little;1131;18;1
26;male;skilled;little;4788;48;1
26;male;unskilled;little;590;6;1
28;male;skilled;little;1108;12;1
22;male;skilled;little;2039;24;1
35;male;unskilled;rich;1941;18;1
25;male;unskilled;little;2473;18;1
45;male;highly_skilled;little;8978;14;1
32;female;unskilled;moderate;1282;24;1
33;male;skilled;little;1245;18;1
28;male;highly_skilled;little;5234;30;1
29;male;highly_skilled;little;11328;24;1
39;male;highly_skilled;little;11938;24;1
32;male;unskilled;little;1301;18;1
26;male;skilled;little;8229;36;1
31;male;skilled;little;4817;24;1
27;female;skilled;little;2930;12;1
41;male;skilled;little;2116;6;1
28;male;unskilled;little;484;6;1
45;female;unskilled;little;3049;18;1
34;male;skilled;little;6999;48;1
29;male;skilled;little;1103;12;1
37;male;unskilled;little;1154;9;1
34;male;skilled;moderate;2622;18;1
43;male;highly_skilled;little;2442;27;1
22;male;skilled;rich;1007;12;1
43;male;unskilled;little;1344;12;1
34;male;unskilled;little;2864;18;1
40;male;highly_skilled;little;7374;18;1
25;female;highly_skilled;little;8065;36;1
22;female;skilled;little;1670;9;1
30;male;highly_skilled;little;5965;27;1
32;male;skilled;little;6078;12;1
30;male;highly_skilled;moderate;2249;18;1
27;male;skilled;little;3552;24;1
64;female;skilled;little;753;6;1
52;male;skilled;rich;338;6;1
39;female;skilled;little;1188;21;1
29;female;skilled;little;3959;15;1
49;male;unskilled;little;3124;12;1
47;male;skilled;little;2353;21;1
22;male;skilled;little;1331;12;1
27;male;skilled;moderate;4576;45;1
40;male;unskilled;little;701;12;1
24;male;skilled;little;9629;36;1
33;male;unskilled;little;2579;12;1
48;male;unskilled;little;1743;24;1
63;male;skilled;little;6836;60;1
37;male;unskilled;little;2118;9;1
37;male;skilled;little;2100;18;1
35;male;unskilled;moderate;4380;18;1
60;male;unskilled;little;1199;24;1
33;male;skilled;little;6403;24;1
27;female;skilled;little;2389;18;1
66;male;unskilled;rich;766;12;1
31;male;skilled;moderate;6148;20;1
25;male;skilled;little;5152;24;1
38;male;unskilled;little;1308;15;1
31;male;skilled;little;4473;36;1
35;male;highly_skilled;little;1050;6;1
46;female;unskilled;little;2251;12;1
39;male;unskilled;moderate;1037;12;1
25;male;unskilled;little;866;18;1
27;male;skilled;little;5998;40;1
43;male;skilled;moderate;1203;6;1
32;male;skilled;moderate;2325;24;1
32;female;highly_skilled;little;18424;48;1
50;female;unskilled;little;1047;6;1
34;male;highly_skilled;little;1337;9;1
26;male;skilled;little;1201;24;1
54;male;skilled;rich;1318;12;1
45;female;skilled;little;2329;7;1
24;male;skilled;little;5848;36;1
22;female;skilled;little;1567;12;1
29;male;skilled;moderate;2896;24;1
28;female;skilled;little;4221;30;1
24;female;skilled;little;2150;30;1
24;male;skilled;little;3016;12;1
31;male;skilled;rich;3651;12;1
27;male;skilled;little;1657;12;1
35;female;skilled;little;2439;24;1
34;female;highly_skilled;little;2064;24;1
37;female;unskilled;little;1274;12;1
29;male;unskilled;little;3590;12;1
41;male;unskilled;little;888;12;1
27;male;unskilled;little;1082;9;1
29;male;skilled;moderate;1437;9;1
