hdi;revenue_in_trillion
79.58;84900
79.87;242000
79;92800
77.17;169000
77.32;433000
72.84;62100
76.86;74800
75.28;129000
78.73;175000
76.09;55400
75.1;64000
77.67;296000
78.77;79400
70.73;537
77.79;71200
76.66;65100
78.7;61300
76.82;157000
78.4;141000
79.29;52700
76.31;110000
76.86;9750
76.67;101000
79.41;155000
80.14;19200
78.99;109000
74.71;67500
77.52;116000
77.12;101000
77.8;98000
77.02;91600
70.8;5810
77.05;43400
78.62;81600
75.1;5600
77.84;64300
71.83;75400
78.17;80900
77.91;6350
80.17;236000
78.78;152000
79.34;120000
74.58;8660
78.62;327000
77.53;61800
78.66;56900
78.81;167000
76.31;62600
78.82;171000
74.47;62400
79.52;87500
77.74;251000
77.7;6040
77.88;99800
77.3;66200
79.02;61500
74.75;57700
76.99;54300
75.75;67500
79.47;200000
78.62;73100
74.64;125000
75.83;78200
75.94;68200
77.23;4270
78.79;257000
76.11;52900
78.54;280000
73.12;86900
76.19;46300
70.66;65600
76.85;43400
78.92;76300
70.6;35700
76.16;84500
78.11;55700
78.97;524000
79.1;139000
77.13;202000
76.05;25500
75.44;54300
76.19;88400
75.71;137000
77.96;5960
75.02;72400
78.44;647
77.82;464
77.91;34300
80.51;131000
72.07;55500
72.24;72000
74.51;93300
71;47800
71.18;74900
69.79;47500
72.04;65700
75.04;79200
72.81;63800
71.79;95600
73.51;149000
74.5;101000
69.67;64100
74.23;120000
52.44;10100
76.37;295000
68.3;72200
74.59;167000
75.11;337000
69.12;61700
72.75;101000
71.46;59700
68.58;56800
72.64;55800
74.05;81100
66.19;141000
72.28;70300
72.3;12300
71.13;12800
72.22;55600
76.01;15200
71.08;166000
73.96;204000
71.02;192000
74.54;70800
73.86;63400
76.13;78100
72.03;109000
74.25;94900
74.8;336000
73.46;58400
74.82;65600
66.24;84100
72.39;52600
76.12;311000
69.38;67600
73.66;60800
69.93;47800
73.67;68900
75.83;180000
71.03;70900
67.34;100000
76.1;9160
74.03;103000
74.92;160000
72.1;12900
69.78;48700
73.92;457000
68.32;202000
73.75;33100
73.94;37300
74.22;59900
69.67;56900
65.39;127000
73.24;54100
72.08;139000
71.88;146000
69.85;178000
72.54;139000
73.21;9240
73.44;94100
71.07;56100
70.23;39800
70.79;48600
70.35;80800
72.68;220000
70.38;225000
73.34;212000
70.25;232000
74.22;71900
76.82;210000
73.85;140000
70.52;59500
51.42;5810
68.31;67100
71.42;78800
70.02;61200
68.67;69000
75.67;24700
73.33;85300
70.03;65600
72.43;274000
69.09;52200
75.02;125000
70.81;40800
71.45;80000
72.12;109000
76.36;184000
72.37;155000
71.64;124000
74.26;66800
68.56;50500
69.45;66800
70.55;5380
69.42;60900
70.36;61200
72;80300
72.21;81300
73.09;62800
76.41;155000
75.21;138000
69.52;212000
73.79;86300
57.55;97100
66.6;237000
74.29;74500
66.22;70800
74.13;139000
74.47;157000
71.87;7990
75.83;227000
70.97;108000
75.27;137000
68.47;104000
71.56;269000
74.95;105000
76.76;90900
73.83;77000
71.54;46100
66.83;47700
72.25;163000
73.29;179000
70.42;6920
72.03;139000
74.56;42600
69.76;49200
70.48;94100
71.29;50300
69.72;62600
71.8;105000
76.79;61900
71;60800
69.59;55800
71.4;62000
75.49;80200
69.74;140000
74.91;174000
72.25;71100
70.65;6150
72.39;91400
70.66;58200
71.67;86900
73.15;118000
75.11;87600
75.4;118000
74.77;123000
69.32;95400
74.09;139000
75.95;100000
72.47;163000
67.74;75000
74.61;225000
74.8;595000
74.23;305000
75.48;61900
75.7;75500
75.71;82700
72.68;123000
73.29;55800
71.81;167000
70.37;85400
71.25;120000
72.3;161000
72.14;137000
71.7;111000
69.58;86400
74.38;15600
51.07;84700
68.82;148000
71.58;45800
69.17;46800
72.54;88900
72.41;71900
63.82;99500
63.51;123000
65.78;143000
61.9;49400
69.5;130000
73.96;8430
75.36;72900
75.33;78000
71.46;118000
73.67;143000
74.34;123000
73;10000
71.9;179000
73.16;59700
72.34;253000
74.33;67700
71.81;102000
69.87;57100
73.6;51900
72.56;57300
60.64;86800
71.72;87100
67.38;5340
67.62;5340
68.69;66500
68.61;103000
52.08;88500
73.48;88000
67.6;64700
69.86;66900
73.28;92600
67.48;18500
68.79;4770
70.39;143000
75.82;60500
73.79;83900
77.23;64100
77.06;80500
75.26;150000
72.27;89400
72.06;18500
74.1;95700
71.79;56300
68.97;92100
73.98;86800
69.57;15100
68.49;81700
71.5;64000
67.93;44000
72.25;131000
49.29;65400
70.89;49000
72.49;156000
70.86;141000
67.91;32600
69.39;41000
69.93;46100
75.13;158000
70.89;9950
71.82;141000
72.67;82000
71.19;117000
74.42;97900
73.36;10600
73.96;27700
73.27;53900
72.93;95700
72.54;3900
67.17;122000
69.64;154000
71.26;91400
60.81;70600
70.33;82900
71.39;74800
74.1;68700
76.56;201000
69.77;182000
74.58;171000
50.32;103000
73.14;12300
74.27;134000
71.26;149000
74.82;133000
71.25;78200
72.98;102000
73.69;50500
73.32;102000
74.87;85700
71.32;55100
69.17;80900
72.61;145000
70.13;66800
71.54;82000
73.22;78500
65.19;138000
73.18;63700
67.03;43600
68.68;83300
50.18;90100
73.49;119000
72.75;137000
74.18;129000
66.08;84000
73.53;117000
73.45;196000
73.87;131000
57.74;37700
77.54;60300
66.81;106000
75.02;53000
62.39;110000
70.3;100000
74.08;82300
68.99;57500
68.4;55800
75.48;137000
69.11;53100
70.25;177000
74.41;98800
73.36;78400
77.44;227000
74.05;74600
78.15;270000
68.96;66800
69.18;6740
74.55;147000
70.76;48600
71.45;66200
69.81;109000
65.73;111000
79.97;190000
70.23;51500
72.46;85800
73.31;762
67.28;62600
69.74;130000
72.31;147000
72.1;182000
71.96;241000
73.24;53600
74.91;137000
63.05;49700
65.49;42600
62.29;34200
63.8;69400
68.5;54400
68.06;95500
73.58;172000
66.89;150000
69.5;57600
71.56;66800
76.19;125000
70.77;70900
51.54;62900
73.2;104000
73.76;66000
71.82;108000
75.29;89300
73.46;123000
72.82;347000
72.66;8840
74.21;110000
73.03;92100
75.13;81000
72.55;87200
75.81;170000
72.18;43200
73.26;221000
73.38;7930
72.22;157000
67.95;145000
67.54;60700
75;105000
66.83;83900
68.94;60800
77.49;71700
70;61600
53.06;80400
70.24;66500
71.69;60500
74.44;121000
70.04;153000
70.38;56800
74.79;177000
72.55;10200
64.77;634
71.08;77800
73.09;149000
71.9;114000
51.14;8300
49.86;72500
