budget;imdb_score
218;7.2
1100;6.6
3250;7.8
4500;6.9
9000;6.4
10000;7.5
10000;6.1
10000;6.7
14000;6.6
15000;7.4
15000;6.3
15000;6.6
15000;6.2
17350;3.0
20000;6.9
20000;3.2
20000;7.4
20000;4.0
22000;3.3
23000;7.1
24000;7.0
25000;7.3
25000;6.6
25000;4.8
27000;6.7
40000;3.2
40000;7.6
40000;7.0
42000;6.6
42000;7.5
45000;5.5
46000;7.4
50000;6.0
50000;7.9
50000;7.4
50000;7.3
50000;3.7
60000;5.6
60000;6.4
60000;3.4
60000;5.4
60000;5.3
60000;7.5
62000;4.1
65000;7.3
65000;6.3
70000;8.3
70000;5.6
70000;5.8
75000;4.5
75000;5.0
83532;7.5
83532;7.5
100000;7.0
100000;7.7
100000;6.6
100000;4.0
100000;4.8
100000;6.8
100000;6.1
100000;7.6
100000;4.7
100000;7.0
100000;6.7
100000;5.8
100000;3.2
100000;4.2
100000;3.6
103000;5.7
114000;8.0
114000;8.0
120000;7.0
120000;7.0
120000;7.4
120000;7.7
125000;7.2
125000;6.7
125000;8.2
125000;5.1
150000;7.4
150000;7.0
150000;5.3
150000;7.1
150000;8.4
150000;6.3
150000;4.0
150000;5.5
160000;7.4
160000;7.5
160000;8.1
168000;6.5
175000;6.5
180000;8.7
180000;8.5
180000;7.9
200000;7.2
200000;7.7
200000;7.1
200000;7.4
200000;6.4
200000;6.5
200000;8.1
200000;7.0
200000;7.2
200000;6.9
200000;7.5
200000;6.7
200000;6.5
200000;8.0
200000;6.6
200000;7.0
200000;5.1
200000;6.8
210000;6.7
225000;7.5
225000;7.0
225000;7.5
229575;8.3
230000;7.8
240000;6.5
250000;7.8
250000;8.0
250000;6.6
250000;5.7
250000;6.2
250000;6.2
250000;6.6
250000;6.1
250000;4.5
250000;7.3
250000;6.9
250000;7.2
250000;6.5
250000;6.7
250000;6.4
250000;6.7
250000;7.1
250000;7.0
250000;6.3
250000;3.9
250000;4.4
270000;6.4
290000;4.3
300000;7.6
300000;7.1
300000;6.7
300000;5.2
300000;4.3
300000;4.3
300000;6.9
300000;7.7
300000;5.5
300000;7.2
300000;6.2
300000;7.9
300000;7.9
300000;7.9
300000;4.8
300000;6.4
312000;6.7
325000;8.2
350000;4.7
350000;8.9
350000;4.1
350000;6.8
350000;3.4
350000;3.2
365000;7.3
375000;7.0
375000;7.6
379000;6.3
400000;6.9
400000;7.4
400000;7.7
400000;5.1
400000;7.1
400000;8.2
400000;6.9
427000;5.7
439000;7.7
450000;8.2
450000;5.9
450000;7.2
450000;7.1
450000;6.8
475000;6.2
500000;4.3
500000;6.4
500000;6.2
500000;6.5
500000;6.8
500000;7.1
500000;7.2
500000;7.7
500000;7.3
500000;7.3
500000;6.6
500000;6.9
500000;6.0
500000;5.7
500000;5.2
500000;6.7
500000;5.8
500000;4.6
500000;3.5
500000;5.4
500000;6.5
500000;7.3
500000;7.4
500000;6.2
500000;8.4
500000;6.5
500000;6.1
500000;6.4
500000;6.5
500000;6.0
500000;5.8
500000;5.7
500000;4.3
500000;5.1
500000;5.9
500000;7.6
500000;8.4
500000;6.1
500000;6.8
500000;7.4
500000;6.8
500000;7.0
500000;6.3
500000;5.7
500000;5.3
500000;6.4
500000;5.8
500000;6.6
500000;6.1
500000;5.5
550000;7.0
550000;6.1
560000;7.2
560000;7.7
590000;7.9
600000;5.1
600000;5.6
600000;6.6
600000;8.1
600000;5.6
600000;8.0
600000;4.5
609000;7.8
625000;3.9
650000;6.5
650000;6.5
650000;7.4
650000;6.9
650000;6.5
650000;5.4
695393;7.7
700000;7.2
700000;7.2
700000;6.5
700000;5.3
700000;8.3
750000;7.0
750000;8.1
750000;6.6
750000;5.5
750000;5.6
750000;3.1
750000;7.0
750000;6.9
750000;4.9
777000;7.5
800000;7.5
800000;7.2
800000;6.4
800000;7.2
800000;7.2
800000;7.2
800000;5.2
800000;6.5
806947;8.5
825000;5.6
850000;6.0
850000;7.4
850000;7.2
850000;7.3
890000;8.0
900000;6.7
900000;6.4
900000;6.2
900000;7.5
900000;6.4
900000;6.4
900000;5.2
900000;6.0
910000;8.2
930000;5.7
950000;6.0
950000;5.5
950000;7.1
960000;8.2
960000;8.1
989000;4.8
990000;4.9
1000000;6.2
1000000;2.8
1000000;6.1
1000000;7.7
1000000;6.8
1000000;7.4
1000000;7.2
1000000;5.6
1000000;7.2
1000000;7.0
1000000;6.7
1000000;7.6
1000000;5.6
1000000;4.1
1000000;5.8
1000000;5.8
1000000;6.1
1000000;5.3
1000000;7.1
1000000;7.1
1000000;7.0
1000000;6.8
1000000;8.2
1000000;6.8
1000000;3.3
1000000;6.8
1000000;6.6
1000000;7.0
1000000;4.2
1000000;2.2
1000000;5.2
1000000;3.5
1000000;7.4
1000000;3.4
1000000;7.2
1000000;7.2
1000000;5.6
1000000;7.8
1000000;6.9
1000000;6.7
1000000;7.2
1000000;6.7
1000000;6.8
1000000;6.2
1000000;3.6
1000000;7.4
1000000;6.1
1000000;5.2
1000000;6.3
1000000;6.8
1000000;6.7
1000000;5.7
1000000;8.1
1000000;6.7
1000000;6.2
1000000;6.0
1000000;5.5
1000000;6.9
1000000;1.9
1000000;5.4
1000000;7.0
1000000;7.3
1000000;5.5
1000000;7.8
1000000;5.7
1000000;5.0
1000000;5.9
1000000;6.1
1000000;6.2
1000000;3.9
1000000;6.3
1000000;7.4
1066167;7.1
1100000;4.9
1100000;2.6
1100000;7.0
1100000;3.0
1100000;6.8
1100000;5.9
1100000;6.1
1100000;7.6
1100000;7.3
1200000;6.6
1200000;7.3
1200000;7.4
1200000;6.2
1200000;7.2
1200000;7.7
1200000;6.6
1200000;6.0
1200000;7.2
1200000;4.6
1200000;4.2
1200000;6.1
1200000;7.1
1200000;5.8
1200000;7.2
1200000;6.0
1200000;7.7
1200000;8.4
1200000;4.5
1200000;3.8
1250000;7.8
1250000;3.4
1250000;5.5
1250000;6.1
1250000;7.1
1288000;8.2
1300000;2.7
1300000;8.1
1300000;7.2
1300000;6.5
1300000;7.0
1300000;8.3
1300000;7.2
1300000;5.9
1300000;5.2
1300000;7.6
1377800;6.5
1400000;5.8
1400000;6.7
1400000;8.7
1400000;6.6
1400000;8.4
1400000;6.9
1400000;6.1
1420000;4.1
1500000;6.1
1500000;6.6
1500000;6.8
1500000;7.7
1500000;6.8
1500000;6.2
1500000;8.2
1500000;7.0
1500000;7.4
1500000;6.7
1500000;7.2
1500000;6.5
1500000;4.3
1500000;6.3
1500000;5.6
1500000;5.4
1500000;8.6
1500000;6.3
1500000;7.5
1500000;5.7
1500000;6.7
1500000;5.7
1500000;6.3
1500000;6.5
1500000;6.5
1500000;7.3
1500000;7.5
1500000;5.8
1500000;6.2
1500000;6.0
1500000;7.6
1500000;6.8
1500000;3.3
1500000;2.8
1500000;7.5
1500000;4.6
1500000;6.8
1500000;6.9
1500000;7.9
1500000;6.5
1500000;5.5
1500000;3.1
1500000;3.3
1500000;4.8
1592000;7.4
1600000;7.0
1600000;7.2
1600000;7.9
1644736;8.0
1650000;5.4
1696377;7.6
1700000;7.5
1700000;6.3
1700000;6.8
1700000;6.1
1750000;6.3
1750000;4.3
1750211;7.8
1800000;8.5
1800000;8.0
1800000;7.5
1800000;5.4
1800000;7.3
1800000;7.5
1800000;7.5
1800000;6.1
1800000;7.3
1800000;6.8
1800000;5.5
1800000;3.4
1800000;7.8
1800000;5.9
1800000;7.8
1800000;5.6
1800000;5.3
1800000;5.6
1900000;6.9
1900000;7.1
1900000;7.2
1900000;6.4
1950000;5.2
2000000;3.3
2000000;6.8
2000000;7.6
2000000;7.1
2000000;6.6
2000000;7.4
2000000;5.3
2000000;6.2
2000000;6.8
2000000;6.9
2000000;8.4
2000000;7.0
2000000;7.2
2000000;7.2
2000000;7.4
2000000;6.6
2000000;7.8
2000000;6.1
2000000;5.7
2000000;4.3
2000000;6.7
2000000;4.8
2000000;8.7
2000000;4.7
2000000;8.2
2000000;7.9
2000000;8.1
2000000;6.8
2000000;5.7
2000000;7.0
2000000;7.7
2000000;6.9
2000000;7.7
2000000;6.1
2000000;7.7
2000000;6.4
2000000;7.6
2000000;7.7
2000000;7.6
2000000;7.4
2000000;7.0
2000000;6.1
2000000;4.7
2000000;6.5
2000000;6.9
2000000;7.1
2000000;7.2
2000000;7.3
2000000;6.7
2000000;5.9
2000000;5.7
2000000;8.0
2000000;7.5
2000000;8.2
2000000;7.5
2000000;7.6
2000000;5.3
2000000;8.5
2000000;8.1
2000000;7.0
2000000;5.3
2000000;5.7
2000000;6.4
2000000;5.5
2000000;4.6
2000000;4.9
2000000;4.5
2000000;3.4
2000000;6.3
2000000;3.6
2100000;7.2
2100000;6.3
2100000;6.7
2160000;7.5
2200000;7.2
2200000;5.9
2200000;5.4
2200000;6.8
2200000;7.1
2200000;4.7
2200000;4.3
2280000;7.8
2295429;7.0
2300000;5.9
2300000;8.0
2300000;7.3
2300000;8.2
2300000;5.1
2300000;7.3
2300000;7.7
2361000;6.5
2400000;6.8
2400000;5.3
2400000;5.1
2450000;3.9
2500000;7.6
2500000;5.1
2500000;6.7
2500000;7.6
2500000;7.1
2500000;7.9
2500000;7.1
2500000;7.0
2500000;6.6
2500000;6.8
2500000;5.0
2500000;7.2
2500000;5.7
2500000;5.1
2500000;5.0
2500000;6.0
2500000;5.9
2500000;7.6
2500000;8.1
2500000;7.1
2500000;5.8
2500000;6.9
2500000;4.6
2500000;6.3
2500000;7.1
2500000;3.1
2500000;5.4
2500000;6.5
2500000;6.2
2500000;4.3
2500000;5.9
2500000;6.9
2500000;5.1
2540800;8.3
2600000;7.5
2600000;7.8
2600000;6.2
2600000;7.2
2600000;5.3
2650000;7.0
2686585;6.9
2700000;7.1
2700000;8.0
2700000;7.4
2700000;7.4
2700000;5.9
2800000;8.0
2800000;6.8
2800000;5.3
2800000;8.1
2800000;7.6
2800000;7.6
2800000;6.0
2883848;8.3
2900000;8.0
2900000;7.3
3000000;5.1
3000000;7.6
3000000;7.4
3000000;3.0
3000000;5.0
3000000;5.3
3000000;3.3
3000000;6.2
3000000;2.6
3000000;5.1
3000000;6.8
3000000;5.9
3000000;5.3
3000000;4.9
3000000;7.7
3000000;6.6
3000000;5.4
3000000;6.6
3000000;6.4
3000000;6.1
3000000;6.5
3000000;7.5
3000000;7.9
3000000;7.0
3000000;7.3
3000000;7.8
3000000;6.7
3000000;5.9
3000000;6.2
3000000;6.2
3000000;5.9
3000000;6.6
3000000;3.2
3000000;5.7
3000000;5.3
3000000;5.4
3000000;7.3
3000000;7.2
3000000;6.6
3000000;5.2
3000000;7.8
3000000;6.8
3000000;2.9
3000000;6.6
3000000;6.6
3000000;7.4
3000000;8.1
3000000;8.3
3000000;7.9
3000000;4.4
3000000;6.0
3000000;8.0
3000000;5.3
3000000;6.6
3000000;6.1
3000000;5.3
3000000;5.1
3000000;5.8
3000000;5.2
3000000;6.5
3000000;7.8
3000000;5.7
3000000;5.9
3000000;6.5
3000000;8.4
3000000;6.1
3000000;6.9
3000000;5.8
3000000;5.3
3000000;5.5
3000000;7.4
3000000;4.8
3000000;3.9
3000000;4.3
3000000;4.0
3000000;7.0
3150000;5.5
3180000;8.6
3200000;7.0
3200000;7.2
3200000;6.4
3200000;5.7
3200000;6.6
3209000;6.2
3300000;4.5
3300000;8.7
3300000;6.9
3300000;8.5
3300000;7.4
3300000;5.2
3400000;6.7
3400000;4.6
3400000;6.6
3400000;7.5
3440000;3.1
3500000;7.8
3500000;3.9
3500000;7.0
3500000;7.1
3500000;6.8
3500000;7.3
3500000;7.6
3500000;7.5
3500000;6.4
3500000;8.2
3500000;7.8
3500000;6.3
3500000;4.7
3500000;8.0
3500000;6.8
3500000;7.2
3500000;7.2
3500000;6.3
3500000;7.2
3500000;7.2
3500000;6.2
3500000;6.8
3500000;6.1
3500000;6.5
3500000;5.3
3500000;7.4
3500000;7.2
3500000;7.5
3500000;6.0
3500000;7.0
3500000;6.1
3500000;4.8
3500000;8.4
3500000;3.3
3500000;5.4
3500000;4.8
3500000;7.1
3500000;5.4
3500159;6.7
3600000;7.9
3600000;7.6
3600000;7.8
3660000;6.4
3700000;7.1
3800000;6.9
3800000;8.3
3800000;5.8
3800000;8.1
3850000;7.2
4000000;6.2
4000000;4.6
4000000;7.6
4000000;5.8
4000000;6.3
4000000;7.3
