months_as_customer;age;policy_csl;policy_deductable;policy_annual_premium;umbrella_limit;insured_sex;insured_education_level;insured_occupation;insured_hobbies;insured_relationship;capital-gains;capital-loss;incident_type;collision_type;incident_severity;authorities_contacted;incident_hour_of_the_day;number_of_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_available;total_claim_amount;injury_claim;property_claim;vehicle_claim;auto_year;fraud
328;48;250/500;1000;1406.91;0;MALE;MD;craft-repair;sleeping;husband;53300;0;Single Vehicle Collision;Side Collision;Major Damage;Police;5;1;YES;1;2;YES;71610;6510;13020;52080;2004;Y
228;42;250/500;2000;1197.22;5000000;MALE;MD;machine-op-inspct;reading;other-relative;0;0;Vehicle Theft;Not Defined;Minor Damage;Police;8;1;Not Defined;0;0;Not Defined;5070;780;780;3510;2007;Y
134;29;100/300;2000;1413.14;5000000;FEMALE;PhD;sales;board-games;own-child;35100;0;Multi-vehicle Collision;Rear Collision;Minor Damage;Police;7;3;NO;2;3;NO;34650;7700;3850;23100;2007;N
256;41;250/500;2000;1415.74;6000000;FEMALE;PhD;armed-forces;board-games;unmarried;48900;-62400;Single Vehicle Collision;Front Collision;Major Damage;Police;5;1;Not Defined;1;2;NO;63400;6340;6340;50720;2014;Y
228;44;500/1000;1000;1583.91;6000000;MALE;Associate;sales;board-games;unmarried;66000;-46000;Vehicle Theft;Not Defined;Minor Damage;None;20;1;NO;0;1;NO;6500;1300;650;4550;2009;N
256;39;250/500;1000;1351.1;0;FEMALE;PhD;tech-support;bungie-jumping;unmarried;0;0;Multi-vehicle Collision;Rear Collision;Major Damage;Fire;19;3;NO;0;2;NO;64100;6410;6410;51280;2003;Y
137;34;250/500;1000;1333.35;0;MALE;PhD;prof-specialty;board-games;husband;0;-77000;Multi-vehicle Collision;Front Collision;Minor Damage;Police;0;3;Not Defined;0;0;Not Defined;78650;21450;7150;50050;2012;N
165;37;100/300;1000;1137.03;0;MALE;Associate;tech-support;base-jumping;unmarried;0;0;Multi-vehicle Collision;Front Collision;Total Loss;Police;23;3;Not Defined;2;2;YES;51590;9380;9380;32830;2015;N
27;33;100/300;500;1442.99;0;FEMALE;PhD;other-service;golf;own-child;0;0;Single Vehicle Collision;Front Collision;Total Loss;Police;21;1;NO;1;1;YES;27700;2770;2770;22160;2012;N
212;42;100/300;500;1315.68;0;MALE;PhD;priv-house-serv;camping;wife;0;-39300;Single Vehicle Collision;Rear Collision;Total Loss;Other;14;1;NO;2;1;Not Defined;42300;4700;4700;32900;1996;N
235;42;100/300;500;1253.12;4000000;FEMALE;Masters;exec-managerial;dancing;other-relative;38400;0;Single Vehicle Collision;Front Collision;Total Loss;Police;22;1;YES;2;2;Not Defined;87010;7910;15820;63280;2002;N
447;61;100/300;2000;1137.16;0;FEMALE;High School;exec-managerial;skydiving;other-relative;0;-51000;Multi-vehicle Collision;Front Collision;Major Damage;Fire;21;3;YES;1;2;YES;114920;17680;17680;79560;2006;N
60;23;500/1000;500;1215.36;3000000;MALE;MD;protective-serv;reading;wife;0;0;Single Vehicle Collision;Rear Collision;Total Loss;Ambulance;9;1;YES;1;0;NO;56520;4710;9420;42390;2000;N
121;34;100/300;1000;936.61;0;FEMALE;MD;armed-forces;bungie-jumping;wife;52800;-32800;Parked Car;Not Defined;Minor Damage;None;5;1;NO;1;1;NO;7280;1120;1120;5040;2010;N
180;38;250/500;2000;1301.13;0;FEMALE;College;machine-op-inspct;board-games;not-in-family;41300;-55500;Single Vehicle Collision;Rear Collision;Total Loss;Police;12;1;NO;0;2;YES;46200;4200;8400;33600;2003;Y
