indikator,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20
simpanan,484419419,489054706,495562164,502709279,515807998,519564487,522293191,518607501,522800715,524835048,534440148,529652327,537548718,544972319,540910565,545955618,558785040,16101405
simpanan_giro,76332706,79880748,88375994,86058198,81036444,93100716,85702263,83755371,95251040,87295843,88700329,86783982,88617628,95714636,90713363,88680588,99851848,
simpanan_tabungan,213607476,213447064,214534968,215968564,227118656,225431540,225072317,224520892,223812336,225101357,227770717,230126418,231353070,234387105,235645592,243105055,243250967,4968216
simpanan_berjangka,194479237,195726894,192651202,200682517,207652898,201032231,211518611,210331238,203737339,212437848,217969102,212741927,217578020,214870578,214551610,214169974,215682226,11133188
pinjaman,679017161,688685260,699022448,703343859,713127042,716218349,714352543,721594912,729908402,728589166,732324998,731541108,739802620,754096869,724794059,740104423,738933160,742106139
pinjaman_modal_kerja,266643181,271180462,278378232,280218161,284619184,291104404,283695529,292922373,297368204,293648385,292707919,289485276,295419312,304769345,290107562,294652214,294362677,295365910
pinjaman_investasi,114122881,115519174,115704236,115642655,117452542,117301373,117544189,118067714,120084910,121022385,123333357,123513157,123571196,128055891,123878216,128600587,128636345,129795894
pinjaman_konsumsi,298251099,301985624,304939980,307483043,311055317,307812571,313112824,310604825,312455288,313918397,316283722,318542676,320812112,321271633,310808282,316851622,315934138,316944336
kreditumkm,137492403,138339418,140781286,143198599,145375283,146455646,146643374,148531336,149790236,151570066,151924491,149932183,152512569,154272234,150958429,147378251,147494343,147009252
kreditumkm_mikro,35588997,36264850,36927149,38093640,39505967,39612938,39504511,40065610,40668283,40746864,40923003,40677479,42939582,43983806,43184128,41217432,40432470,39234307
kreditumkm_kecil,39756077,40419671,41337750,41870579,42370001,42565802,43204347,43616444,44648968,45094965,45761117,45289852,45682603,45837851,44712083,44141215,44394760,44501313
kreditumkm_menengah,62147329,61654896,62516388,63234379,63499316,64276906,63934516,64849281,64472985,65728237,65240371,63964853,63890384,64450578,63062218,62019605,62667112,63273632
