indikator,simpanan,pinjaman,kreditumkm
Jan-19,484419419,679017161,137492403
Feb-19,489054706,688685260,138339418
Mar-19,495562164,699022448,140781286
Apr-19,502709279,703343859,143198599
May-19,515807998,713127042,145375283
Jun-19,519564487,716218349,146455646
Jul-19,522293191,714352543,146643374
Aug-19,518607501,721594912,148531336
Sep-19,522800715,729908402,149790236
Oct-19,524835048,728589166,151570066
Nov-19,534440148,732324998,151924491
Jan-20,529652327,731541108,149932183
Feb-20,537548718,739802620,152512569
Mar-20,544972319,754096869,154272234
Apr-20,540910565,724794059,150958429
May-20,545955618,740104423,147378251
Jun-20,558785040,738933160,147494343
Jul-20,16101405,742106139,147009252
