tanggal,nilai,indikator
Jan-19,484419419,simpanan
Feb-19,489054706,simpanan
Mar-19,495562164,simpanan
Apr-19,502709279,simpanan
May-19,515807998,simpanan
Jun-19,519564487,simpanan
Jul-19,522293191,simpanan
Aug-19,518607501,simpanan
Sep-19,522800715,simpanan
Oct-19,524835048,simpanan
Nov-19,534440148,simpanan
Jan-20,529652327,simpanan
Feb-20,537548718,simpanan
Mar-20,544972319,simpanan
Apr-20,540910565,simpanan
May-20,545955618,simpanan
Jun-20,558785040,simpanan
Jul-20,16101405,simpanan
Jan-19,76332706,simpanan_giro
Feb-19,79880748,simpanan_giro
Mar-19,88375994,simpanan_giro
Apr-19,86058198,simpanan_giro
May-19,81036444,simpanan_giro
Jun-19,93100716,simpanan_giro
Jul-19,85702263,simpanan_giro
Aug-19,83755371,simpanan_giro
Sep-19,95251040,simpanan_giro
Oct-19,87295843,simpanan_giro
Nov-19,88700329,simpanan_giro
Jan-20,86783982,simpanan_giro
Feb-20,88617628,simpanan_giro
Mar-20,95714636,simpanan_giro
Apr-20,90713363,simpanan_giro
May-20,88680588,simpanan_giro
Jun-20,99851848,simpanan_giro
Jul-20,,simpanan_giro
Jan-19,213607476,simpanan_tabungan
Feb-19,213447064,simpanan_tabungan
Mar-19,214534968,simpanan_tabungan
Apr-19,215968564,simpanan_tabungan
May-19,227118656,simpanan_tabungan
Jun-19,225431540,simpanan_tabungan
Jul-19,225072317,simpanan_tabungan
Aug-19,224520892,simpanan_tabungan
Sep-19,223812336,simpanan_tabungan
Oct-19,225101357,simpanan_tabungan
Nov-19,227770717,simpanan_tabungan
Jan-20,230126418,simpanan_tabungan
Feb-20,231353070,simpanan_tabungan
Mar-20,234387105,simpanan_tabungan
Apr-20,235645592,simpanan_tabungan
May-20,243105055,simpanan_tabungan
Jun-20,243250967,simpanan_tabungan
Jul-20,4968216,simpanan_tabungan
Jan-19,194479237,simpanan_berjangka
Feb-19,195726894,simpanan_berjangka
Mar-19,192651202,simpanan_berjangka
Apr-19,200682517,simpanan_berjangka
May-19,207652898,simpanan_berjangka
Jun-19,201032231,simpanan_berjangka
Jul-19,211518611,simpanan_berjangka
Aug-19,210331238,simpanan_berjangka
Sep-19,203737339,simpanan_berjangka
Oct-19,212437848,simpanan_berjangka
Nov-19,217969102,simpanan_berjangka
Jan-20,212741927,simpanan_berjangka
Feb-20,217578020,simpanan_berjangka
Mar-20,214870578,simpanan_berjangka
Apr-20,214551610,simpanan_berjangka
May-20,214169974,simpanan_berjangka
Jun-20,215682226,simpanan_berjangka
Jul-20,11133188,simpanan_berjangka
Jan-19,679017161,pinjaman
Feb-19,688685260,pinjaman
Mar-19,699022448,pinjaman
Apr-19,703343859,pinjaman
May-19,713127042,pinjaman
Jun-19,716218349,pinjaman
Jul-19,714352543,pinjaman
Aug-19,721594912,pinjaman
Sep-19,729908402,pinjaman
Oct-19,728589166,pinjaman
Nov-19,732324998,pinjaman
Jan-20,731541108,pinjaman
Feb-20,739802620,pinjaman
Mar-20,754096869,pinjaman
Apr-20,724794059,pinjaman
May-20,740104423,pinjaman
Jun-20,738933160,pinjaman
Jul-20,742106139,pinjaman
Jan-19,266643181,pinjaman_modal_kerja
Feb-19,271180462,pinjaman_modal_kerja
Mar-19,278378232,pinjaman_modal_kerja
Apr-19,280218161,pinjaman_modal_kerja
May-19,284619184,pinjaman_modal_kerja
Jun-19,291104404,pinjaman_modal_kerja
Jul-19,283695529,pinjaman_modal_kerja
Aug-19,292922373,pinjaman_modal_kerja
Sep-19,297368204,pinjaman_modal_kerja
Oct-19,293648385,pinjaman_modal_kerja
Nov-19,292707919,pinjaman_modal_kerja
Jan-20,289485276,pinjaman_modal_kerja
Feb-20,295419312,pinjaman_modal_kerja
Mar-20,304769345,pinjaman_modal_kerja
Apr-20,290107562,pinjaman_modal_kerja
May-20,294652214,pinjaman_modal_kerja
Jun-20,294362677,pinjaman_modal_kerja
Jul-20,295365910,pinjaman_modal_kerja
Jan-19,114122881,pinjaman_investasi
Feb-19,115519174,pinjaman_investasi
Mar-19,115704236,pinjaman_investasi
Apr-19,115642655,pinjaman_investasi
May-19,117452542,pinjaman_investasi
Jun-19,117301373,pinjaman_investasi
Jul-19,117544189,pinjaman_investasi
Aug-19,118067714,pinjaman_investasi
Sep-19,120084910,pinjaman_investasi
Oct-19,121022385,pinjaman_investasi
Nov-19,123333357,pinjaman_investasi
Jan-20,123513157,pinjaman_investasi
Feb-20,123571196,pinjaman_investasi
Mar-20,128055891,pinjaman_investasi
Apr-20,123878216,pinjaman_investasi
May-20,128600587,pinjaman_investasi
Jun-20,128636345,pinjaman_investasi
Jul-20,129795894,pinjaman_investasi
Jan-19,298251099,pinjaman_konsumsi
Feb-19,301985624,pinjaman_konsumsi
Mar-19,304939980,pinjaman_konsumsi
Apr-19,307483043,pinjaman_konsumsi
May-19,311055317,pinjaman_konsumsi
Jun-19,307812571,pinjaman_konsumsi
Jul-19,313112824,pinjaman_konsumsi
Aug-19,310604825,pinjaman_konsumsi
Sep-19,312455288,pinjaman_konsumsi
Oct-19,313918397,pinjaman_konsumsi
Nov-19,316283722,pinjaman_konsumsi
Jan-20,318542676,pinjaman_konsumsi
Feb-20,320812112,pinjaman_konsumsi
Mar-20,321271633,pinjaman_konsumsi
Apr-20,310808282,pinjaman_konsumsi
May-20,316851622,pinjaman_konsumsi
Jun-20,315934138,pinjaman_konsumsi
Jul-20,316944336,pinjaman_konsumsi
Jan-19,137492403,kreditumkm
Feb-19,138339418,kreditumkm
Mar-19,140781286,kreditumkm
Apr-19,143198599,kreditumkm
May-19,145375283,kreditumkm
Jun-19,146455646,kreditumkm
Jul-19,146643374,kreditumkm
Aug-19,148531336,kreditumkm
Sep-19,149790236,kreditumkm
Oct-19,151570066,kreditumkm
Nov-19,151924491,kreditumkm
Jan-20,149932183,kreditumkm
Feb-20,152512569,kreditumkm
Mar-20,154272234,kreditumkm
Apr-20,150958429,kreditumkm
May-20,147378251,kreditumkm
Jun-20,147494343,kreditumkm
Jul-20,147009252,kreditumkm
Jan-19,35588997,kreditumkm_mikro
Feb-19,36264850,kreditumkm_mikro
Mar-19,36927149,kreditumkm_mikro
Apr-19,38093640,kreditumkm_mikro
May-19,39505967,kreditumkm_mikro
Jun-19,39612938,kreditumkm_mikro
Jul-19,39504511,kreditumkm_mikro
Aug-19,40065610,kreditumkm_mikro
Sep-19,40668283,kreditumkm_mikro
Oct-19,40746864,kreditumkm_mikro
Nov-19,40923003,kreditumkm_mikro
Jan-20,40677479,kreditumkm_mikro
Feb-20,42939582,kreditumkm_mikro
Mar-20,43983806,kreditumkm_mikro
Apr-20,43184128,kreditumkm_mikro
May-20,41217432,kreditumkm_mikro
Jun-20,40432470,kreditumkm_mikro
Jul-20,39234307,kreditumkm_mikro
Jan-19,39756077,kreditumkm_kecil
Feb-19,40419671,kreditumkm_kecil
Mar-19,41337750,kreditumkm_kecil
Apr-19,41870579,kreditumkm_kecil
May-19,42370001,kreditumkm_kecil
Jun-19,42565802,kreditumkm_kecil
Jul-19,43204347,kreditumkm_kecil
Aug-19,43616444,kreditumkm_kecil
Sep-19,44648968,kreditumkm_kecil
Oct-19,45094965,kreditumkm_kecil
Nov-19,45761117,kreditumkm_kecil
Jan-20,45289852,kreditumkm_kecil
Feb-20,45682603,kreditumkm_kecil
Mar-20,45837851,kreditumkm_kecil
Apr-20,44712083,kreditumkm_kecil
May-20,44141215,kreditumkm_kecil
Jun-20,44394760,kreditumkm_kecil
Jul-20,44501313,kreditumkm_kecil
Jan-19,62147329,kreditumkm_menengah
Feb-19,61654896,kreditumkm_menengah
Mar-19,62516388,kreditumkm_menengah
Apr-19,63234379,kreditumkm_menengah
May-19,63499316,kreditumkm_menengah
Jun-19,64276906,kreditumkm_menengah
Jul-19,63934516,kreditumkm_menengah
Aug-19,64849281,kreditumkm_menengah
Sep-19,64472985,kreditumkm_menengah
Oct-19,65728237,kreditumkm_menengah
Nov-19,65240371,kreditumkm_menengah
Jan-20,63964853,kreditumkm_menengah
Feb-20,63890384,kreditumkm_menengah
Mar-20,64450578,kreditumkm_menengah
Apr-20,63062218,kreditumkm_menengah
May-20,62019605,kreditumkm_menengah
Jun-20,62667112,kreditumkm_menengah
Jul-20,63273632,kreditumkm_menengah
