indikator,simpanan,simpanan_giro,simpanan_tabungan,simpanan_berjangka,pinjaman,pinjaman_modal_kerja,pinjaman_investasi,pinjaman_konsumsi,kreditumkm,kreditumkm_mikro,kreditumkm_kecil,kreditumkm_menengah
Jan-19,484419419,76332706,213607476,194479237,679017161,266643181,114122881,298251099,137492403,35588997,39756077,62147329
Feb-19,489054706,79880748,213447064,195726894,688685260,271180462,115519174,301985624,138339418,36264850,40419671,61654896
Mar-19,495562164,88375994,214534968,192651202,699022448,278378232,115704236,304939980,140781286,36927149,41337750,62516388
Apr-19,502709279,86058198,215968564,200682517,703343859,280218161,115642655,307483043,143198599,38093640,41870579,63234379
May-19,515807998,81036444,227118656,207652898,713127042,284619184,117452542,311055317,145375283,39505967,42370001,63499316
Jun-19,519564487,93100716,225431540,201032231,716218349,291104404,117301373,307812571,146455646,39612938,42565802,64276906
Jul-19,522293191,85702263,225072317,211518611,714352543,283695529,117544189,313112824,146643374,39504511,43204347,63934516
Aug-19,518607501,83755371,224520892,210331238,721594912,292922373,118067714,310604825,148531336,40065610,43616444,64849281
Sep-19,522800715,95251040,223812336,203737339,729908402,297368204,120084910,312455288,149790236,40668283,44648968,64472985
Oct-19,524835048,87295843,225101357,212437848,728589166,293648385,121022385,313918397,151570066,40746864,45094965,65728237
Nov-19,534440148,88700329,227770717,217969102,732324998,292707919,123333357,316283722,151924491,40923003,45761117,65240371
Jan-20,529652327,86783982,230126418,212741927,731541108,289485276,123513157,318542676,149932183,40677479,45289852,63964853
Feb-20,537548718,88617628,231353070,217578020,739802620,295419312,123571196,320812112,152512569,42939582,45682603,63890384
Mar-20,544972319,95714636,234387105,214870578,754096869,304769345,128055891,321271633,154272234,43983806,45837851,64450578
Apr-20,540910565,90713363,235645592,214551610,724794059,290107562,123878216,310808282,150958429,43184128,44712083,63062218
May-20,545955618,88680588,243105055,214169974,740104423,294652214,128600587,316851622,147378251,41217432,44141215,62019605
Jun-20,558785040,99851848,243250967,215682226,738933160,294362677,128636345,315934138,147494343,40432470,44394760,62667112
Jul-20,16101405,,4968216,11133188,742106139,295365910,129795894,316944336,147009252,39234307,44501313,63273632
