indikator,simpanan,simpanan_giro,simpanan_tabungan,simpanan_berjangka
Jan-19,484419419,76332706,213607476,194479237
Feb-19,489054706,79880748,213447064,195726894
Mar-19,495562164,88375994,214534968,192651202
Apr-19,502709279,86058198,215968564,200682517
May-19,515807998,81036444,227118656,207652898
Jun-19,519564487,93100716,225431540,201032231
Jul-19,522293191,85702263,225072317,211518611
Aug-19,518607501,83755371,224520892,210331238
Sep-19,522800715,95251040,223812336,203737339
Oct-19,524835048,87295843,225101357,212437848
Nov-19,534440148,88700329,227770717,217969102
Jan-20,529652327,86783982,230126418,212741927
Feb-20,537548718,88617628,231353070,217578020
Mar-20,544972319,95714636,234387105,214870578
Apr-20,540910565,90713363,235645592,214551610
May-20,545955618,88680588,243105055,214169974
Jun-20,558785040,99851848,243250967,215682226
Jul-20,16101405,,4968216,11133188
