indikator,kreditumkm,kreditumkm_mikro,kreditumkm_kecil,kreditumkm_menengah
Jan-19,137492403,35588997,39756077,62147329
Feb-19,138339418,36264850,40419671,61654896
Mar-19,140781286,36927149,41337750,62516388
Apr-19,143198599,38093640,41870579,63234379
May-19,145375283,39505967,42370001,63499316
Jun-19,146455646,39612938,42565802,64276906
Jul-19,146643374,39504511,43204347,63934516
Aug-19,148531336,40065610,43616444,64849281
Sep-19,149790236,40668283,44648968,64472985
Oct-19,151570066,40746864,45094965,65728237
Nov-19,151924491,40923003,45761117,65240371
Jan-20,149932183,40677479,45289852,63964853
Feb-20,152512569,42939582,45682603,63890384
Mar-20,154272234,43983806,45837851,64450578
Apr-20,150958429,43184128,44712083,63062218
May-20,147378251,41217432,44141215,62019605
Jun-20,147494343,40432470,44394760,62667112
Jul-20,147009252,39234307,44501313,63273632
