source,target
BandaAceh(BTJ),Jakarta(CGK)
BandaAceh(BTJ),Jakarta(CGK)
BandaAceh(BTJ),Jakarta(CGK)
BandaAceh(BTJ),Medan(KNO)
BandaAceh(BTJ),Medan(KNO)
BandaAceh(BTJ),Medan(KNO)
BandaAceh(BTJ),Medan(KNO)
BandaAceh(BTJ),Medan(KNO)
TSelatan(AEG),Medan(KNO)
Alor(ARD),Kupang(KOE)
Alor(ARD),Kupang(KOE)
Alor(ARD),Kupang(KOE)
Ambon(AMQ),Jakarta(CGK)
Ambon(AMQ),Jakarta(HLP)
Ambon(AMQ),Jakarta(CGK)
Ambon(AMQ),Langgur(LUV)
Ambon(AMQ),Langgur(LUV)
Ambon(AMQ),Makassar(UPG)
Ambon(AMQ),Makassar(UPG)
Ambon(AMQ),Makassar(UPG)
Ambon(AMQ),Makassar(UPG)
Ambon(AMQ),Makassar(UPG)
Ambon(AMQ),Manado(MDC)
Ambon(AMQ),Namlea(NAM)
Ambon(AMQ),PulauAru(DOB)
Ambon(AMQ),Saumlaki(SXK)
Ambon(AMQ),Sorong(SOQ)
Ambon(AMQ),Surabaya(SUB)
Atambua(ABU),Kupang(KOE)
Atambua(ABU),Kupang(KOE)
Atambua(ABU),Kupang(KOE)
Bali(DPS),Balikpapan(BPN)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bandung(BDO)
Bali(DPS),Bima(BMU)
Bali(DPS),Bima(BMU)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(HLP)
Bali(DPS),Jakarta(HLP)
Bali(DPS),Jakarta(HLP)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Jakarta(CGK)
Bali(DPS),Kupang(KOE)
Bali(DPS),Kupang(KOE)
Bali(DPS),LBajo(LBJ)
Bali(DPS),LBajo(LBJ)
Bali(DPS),LBajo(LBJ)
Bali(DPS),LBajo(LBJ)
Bali(DPS),LBajo(LBJ)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Lombok(LOP)
Bali(DPS),Makassar(UPG)
Bali(DPS),Makassar(UPG)
Bali(DPS),Makassar(UPG)
Bali(DPS),Makassar(UPG)
Bali(DPS),Makassar(UPG)
Bali(DPS),Malang(MLG)
Bali(DPS),Manado(MDC)
Bali(DPS),Maumere(MOF)
Bali(DPS),Maumere(MOF)
Bali(DPS),Palembang(PLM)
Bali(DPS),Semarang(SRG)
Bali(DPS),Semarang(SRG)
Bali(DPS),Semarang(SRG)
Bali(DPS),Solo(SOC)
Bali(DPS),Solo(SOC)
Bali(DPS),Solo(SOC)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
Bali(DPS),Surabaya(SUB)
