distance_to_station;house_price_per_area
8487882;37.9
3065947;42.2
5619845;47.3
5619845;54.8
3905684;43.1
217503;32.1
6234731;40.3
2876025;46.7
5512038;18.8
178318;22.1
4052134;41.4
9045606;58.1
4922313;39.3
2469645;23.8
1164838;34.3
5792083;50.5
2929978;70.1
3508515;37.4
3681363;42.3
2338284;47.7
2275877;29.3
2791726;51.6
1360139;24.6
2791726;47.9
4806977;38.8
1487868;27
3838624;56.2
276449;33.6
557478;47
4512438;57.1
451969;22.1
7694034;25
4885727;34.2
323655;49.3
205367;55.1
4079418;27.3
1935009;22.9
1360139;25.3
5779615;47.7
2893248;46.2
4082015;15.9
4066587;18.2
5194617;34.7
5127871;34.1
5334762;53.9
4888193;38.3
4639623;42
6407391;61.5
4605749;13.4
4510359;13.2
5125487;44.2
1758406;20.7
1438579;27
4922313;38.9
2893248;51.7
1160632;13.7
3712495;41.9
5647425;53.5
4510359;22.6
3360532;42.4
1931207;21.3
2596607;63.2
2175877;27.7
5334762;55
9957554;25.3
1237429;44.3
1935845;50.7
1048101;56.8
464223;36.2
5619845;42
9045606;59
6407391;40.8
4245442;36.3
4082015;20
3795575;54.4
1360139;29.5
6164004;36.8
2185128;25.6
5524371;29.8
1414837;26.5
5334762;40.3
3777956;36.8
1509347;48.1
2707392;17.7
3832805;43.7
3389679;50.8
1455798;27
4066587;18.3
140643;48
3947945;25.3
2740144;45.4
1402016;43.2
2469645;21.8
1146329;16.1
1675989;41
1048101;51.8
9045606;59.5
6174424;34.6
2893248;51
9045606;62.2
9647496;38.2
1701289;32.9
1935845;54.4
2083905;45.7
3924459;30.5
2929978;71
1895181;47.1
1360139;26.6
5925006;34.1
2147376;28.4
1048101;51.6
1966172;39.4
2102427;23.1
3932606;7.6
1438383;53.3
7379161;46.4
6396283;12.2
4197349;13
1583722;30.6
2893248;59.6
4922313;31.3
4922313;48
4149476;32.5
1854296;45.5
2791726;57.4
1935845;48.6
8046897;62.9
3838624;55
1249912;60.7
2168329;41
535527;37.5
2147376;30.7
4827581;37.5
3733937;39.5
1869686;42.2
1009235;20.8
3905684;46.8
3190708;47.4
9424664;43.5
4922313;42.5
2893248;51.4
1559827;28.9
6406071;37.5
4922313;40.1
1360139;28.4
4512438;45.5
1854296;52.2
4898821;43.2
378059;45.1
1794538;39.7
1707311;48.5
3877721;44.7
1360139;28.9
3761709;40.9
4066587;20.7
4082015;15.6
126473;18.3
8159314;35.6
3905684;39.4
8159314;37.4
4966105;57.8
6164004;39.6
4066587;11.6
1048101;55.5
1854296;55.2
1236564;30.6
2929978;73.6
3300854;43.4
5151122;37.4
1962628;23.5
4527687;14.4
3838624;58.8
9045606;58.1
4018807;35.1
4320385;45.2
4721745;36.5
4573779;19.2
1810766;42
1144436;36.7
4388513;42.6
444927;15.5
2018939;55.9
2147376;23.6
4082015;18.8
2615465;21.8
1447286;21.5
2185128;25.7
3078176;22
1900392;44.3
4066587;20.5
6165735;42.3
7500704;37.8
5758945;42.7
421479;49.3
3771895;29.3
4611016;34.6
7079067;36.6
1267286;48.2
1576052;39.1
4516419;31.6
9957554;25.5
5619845;45.9
6426985;31.5
2893248;46.1
1414837;26.6
1449722;21.4
3795575;44
6650636;34.2
1360139;26.2
1756294;40.9
3905684;52.2
2740144;43.5
1805665;31.1
9045606;58
178318;20.9
3837129;48.1
5909292;39.7
3726242;40.8
4922313;43.8
5297771;40.2
1865101;78.3
1402016;38.5
4311114;48.5
1402016;42.3
3249419;46
1935845;49
4082015;12.8
2650609;40.2
3171329;46.6
1156412;19
2147376;33.4
4074736;14.7
4412765;17.4
3333679;32.4
2216612;23.9
250631;39.3
3738389;61.9
7328528;39
7328528;40.6
8377233;29.7
1712632;28.8
250631;41.4
207739;33.4
2041705;48.2
1559827;21.7
6396198;40.8
3898219;40.6
1055067;23.1
1009235;22.3
6306153;15
4247132;30
1159454;13.8
9045606;52.7
1735595;25.9
3299747;51.8
5512038;17.4
3392289;26.5
4441334;43.9
2929978;63.3
8377233;28.8
1485097;30.7
2288011;24.4
2893248;53
2147376;31.7
493657;40.6
8159314;38.1
178318;23.7
4827581;41.1
3905684;40.1
8377233;23
2525822;117.5
4516419;26.5
4922313;40.5
1701289;29.3
3940173;41
2338284;49.7
4611016;34
2185128;27.7
2083905;44
155425;31.1
1843302;45.4
3877721;44.8
1455798;25.6
1978671;23.5
3832805;34.4
7182937;55.3
9045606;56.3
4611016;32.9
3236912;51
2893248;44.5
4903446;37
5647425;54.4
3956747;24.5
3832805;42.5
3355273;38.1
217959;21.8
1144436;34.1
5670349;28.5
4082015;16.7
1217262;46.1
1562442;36.9
4617848;35.7
2288011;23.2
4397105;38.4
1626083;29.4
2893248;55
1699803;50.2
307989;24.7
2893248;53
126473;19.1
1643499;24.7
5377971;42.2
3185292;78
1048101;42.8
5779615;41.6
1756411;27.3
250631;42
7527669;37.5
3795575;49.8
2726783;26.9
4197349;18.6
9647496;37.7
1874823;33.1
1971338;42.5
1712632;31.3
4888193;38.1
5647425;62.1
7573377;36.7
1497713;23.6
4197349;19.2
1156777;12.8
451969;15.6
6177134;39.6
1048101;38.4
1013341;22.8
3376016;36.5
1867233;35.6
6008604;30.9
258186;36.3
3299747;50.4
2708895;42.9
7500704;37
9045606;53.5
5632854;46.6
308517;41.2
1854296;37.9
1712632;30.8
6488021;11.2
2596607;53.7
1048101;47
4922313;42.3
2180245;28.6
2674961;25.7
2147376;31.3
1360139;30.1
3838624;60.7
2114473;45.3
3389679;44.9
1935845;45.1
2408993;24.7
8730222;47.1
281205;63.3
9674;40
1099455;48
6141394;33.1
2261432;29.5
1801544;24.8
1828319;20.9
3508515;43.1
2185128;22.8
2893248;42.1
3128963;51.7
1576052;41.5
2740144;52.2
3905684;49.5
1157988;23.8
1717193;30.5
4966105;56.8
5878877;37.4
2929978;69.7
2893248;53.3
1325469;47.3
3529564;29.3
5061144;40.3
4066587;12.9
8288643;46.6
1854296;55.3
2103555;25.6
2251938;27.3
1223619;67.7
3778302;38.6
1939749;31.3
443802;35.3
9674;40.3
4136271;24.7
5125487;42.5
9186357;31.9
1164838;32.2
1717193;23
1701289;37.3
4827581;35.5
217503;27.7
1874823;28.5
161942;39.7
2893248;41.2
1309945;37.2
3721386;40.5
2408993;22.3
2175744;28.1
4082015;15.4
9045606;50
3909696;40.6
1048101;52.5
9045606;63.9
