source;target
BigAlphaID;widayantitin
BigAlphaID;aldrdp
BigAlphaID;khairunisaridwn
BigAlphaID;Mikharumi
detikcom;Bintankkuleo
cnbcindonesia;Anaksemut4
BigAlphaID;nadyasalmas
detikcom;ygndini_feb
BigAlphaID;sunsff
BigAlphaID;Storyellena23
detikfinance;tinbos
detikfinance;fadli_tamam
jowangshin;ndaru_wardani
My_LoveNebe;zubhan08
BigAlphaID;alwanabdrhmn
SilumanRi;dedihermanto813
cnbcindonesia;KavindraOemar
BigAlphaID;luwandiko
BigAlphaID;canpratama
BigAlphaID;xoxobgs
detikfinance;IndahTabita1
okezonenews;Amy_Eteek
BigAlphaID;intrviewtipster
BigAlphaID;dionedo
yudhoarerihan;meaniecas
detikcom;munfarikhaaas
BigAlphaID;Aseppurwaa
BigAlphaID;hi_kryst
BigAlphaID;Sumeryandi
detikcom;ikbal_yulianto1
runturambi_w;omar2000nur
BigAlphaID;Awaaja_
BigAlphaID;wiradarms
revofebri;ahmadmansur_
detikcom;Irfanradityo21
cnbcindonesia;RepKertanegara
detikfinance;LeonardusArdus
BigAlphaID;trikaloko
kompascom;dwihadyaj
adriansyahyasin;RowBend
BigAlphaID;brimapashaa
BigAlphaID;ITSAREUMY
BigAlphaID;farhanluk
BigAlphaID;oohnein
BigAlphaID;quaintrellest
BigAlphaID;dindasilvianad
idtodayco;NaburjuTigor
detikcom;iqiff
detikcom;endangtr
detikcom;dyodharma
BigAlphaID;Anzarmdhn
detikcom;cherusii_
BigAlphaID;nnnnnnahbro
detikcom;evesusi
BigAlphaID;hanaaikhtiarina
BigAlphaID;Ya_Agnes
KontanNews;AlbertSolo2
BigAlphaID;donkloo
BigAlphaID;pixiiesss
runturambi_w;bibin_bey
BigAlphaID;flawyless
detikcom;_MRBTH_
detikfinance;Andaru__9
BigAlphaID;mrbhsr
detikcom;IndahCalista3
BigAlphaID;jeremiakevin
detikcom;Ahmadrifai_93
BigAlphaID;RiadlinRafif
BigAlphaID;andhikariva
BigAlphaID;musthofa_sy
detikcom;andreaskoernia1
My_LoveNebe;AbdoellahC
BigAlphaID;selenagemeyy
CNNIndonesia;mfikrialmagribi
BigAlphaID;yogatamawskth
HendraGW;BigAlphaID
detikcom;heavenbby01
BigAlphaID;M_Fahrul27
BigAlphaID;wondermiaa
BigAlphaID;rachelldk_
BigAlphaID;juruspamungkas
BigAlphaID;gombang
detikcom;fitriaperdanaa
detikcom;MuammarAldafi
BigAlphaID;yeahalfi
BigAlphaID;pavettshyla
BigAlphaID;ilhamedl
BigAlphaID;kepincutYoongi
detikcom;Khoirul90158405
BigAlphaID;adittrrrr
BigAlphaID;Diptangger
CNNIndonesia;SusenoSeno15
BigAlphaID;monmoneeeeee
detikcom;dheeya05
BigAlphaID;fiqraaaa
BigAlphaID;rumaisasha
BigAlphaID;ErlinggaAgustia
catuaries;Abangdhia
BigAlphaID;dhittaa
detikcom;didi_405
BigAlphaID;spicyfirewings
detikcom;RendyPrashino
BigAlphaID;hajarwahyudi
BigAlphaID;IqbalTr_
detikfinance;agungissmile
BigAlphaID;JordieYonatan
SilumanRi;Zerolelouch3
BigAlphaID;wardanafajr1
BigAlphaID;theRealBondan
BigAlphaID;IhsanRizki_48
BigAlphaID;oppagege
detikfinance;aaufaathalla
detikfinance;detikcom
indoinsidenews;buceiswara
My_LoveNebe;AnakBabeGw
BigAlphaID;nabiladhn
catuaries;laroseelsa
BigAlphaID;jackgolas
BigAlphaID;GrahaRaya_
BigAlphaID;nadiamauren
BigAlphaID;R_Perkasa
detikcom;h3nd4r
detikcom;AwalFans
BigAlphaID;ichigo_ssi
BigAlphaID;nananadira
BigAlphaID;Pacarkamunih
detikcom;hzlntmcht
detikcom;bragasasp
demokrasicoid;Rila_IsnainMala
detikcom;UmarAliChan
KontanNews;eknug
detikcom;bragasasp
AchsanulQosasi;eckofuji
republikaonline;dodhik
detikcom;maswahyu_
detikcom;eonnirany
BigAlphaID;setyawatiwiwik
detikfinance;Nissa_tebet
BigAlphaID;rizkydidi
BigAlphaID;marindaindayani
BigAlphaID;willyframadhan
detikcom;aideleis
detikfinance;ManaluOktaviana
detikcom;lubai50
BigAlphaID;briliardo_gsb
fyijess;lipties
BigAlphaID;diannurilma
detikcom;andikaPAP
detikcom;FA_emeres
My_LoveNebe;WahhabiCC
CNNIndonesia;htrzkndn
BigAlphaID;oneandonly_rose
detikfinance;DeniWah37019931
BigAlphaID;dhantee__
BigAlphaID;mellyameilia
BigAlphaID;joy_mahakam
BigAlphaID;AdhityaNgurah
BigAlphaID;ottomahendra
BigAlphaID;meiliawtaniska
BigAlphaID;akmaall
BigAlphaID;akuluthfi
idsafwansrg;kevindaffaarr
BigAlphaID;biwis14
detikcom;Indahrss
detikcom;terasiq
My_LoveNebe;g0bell_78
BigAlphaID;bungrio_
detikfinance;AidilAKBAR
kompascom;yugo_ariyo
KontanNews;AdrianPramudito
BigAlphaID;farisrahimulloh
BigAlphaID;Thymantha_4
runturambi_w;imus28
kompascom;GibranMedia
BigAlphaID;saripmanfr
BigAlphaID;ianbrillian_
BigAlphaID;yesihaerunisa
detikcom;ErsyachIrSun
BigAlphaID;MuhammadAzmi06
runturambi_w;achmadsetyo
BigAlphaID;pinkknitprince
BigAlphaID;farizsofyan
SilumanRi;rendroko
Danstauber2;AlisTeballs
detikcom;RaafianPrabowo
BigAlphaID;diniasfia
BigAlphaID;ririLF
BigAlphaID;sptywn
BigAlphaID;amrrhmz
BigAlphaID;oktikurniaa
BigAlphaID;amaliyakp
detikfinance;deesilaisila
BigAlphaID;farizabg_
BigAlphaID;AarwanRamsey
BigAlphaID;ucilalalala
BigAlphaID;meow_leader
detikcom;vitoyputra12
detikfinance;octavo00
BigAlphaID;jamesmbonz
BigAlphaID;dhiyaul_luthfi
detikfinance;callmealiaaaa
BigAlphaID;fheri_
BigAlphaID;alpinjet
BigAlphaID;schmckt
BigAlphaID;viscamel__
detikfinance;AidilAKBAR
cnbcindonesia;ArfanRazif
BigAlphaID;mmuzakkyalwyath
BigAlphaID;baguskna
BigAlphaID;litavista
runturambi_w;hary_cepy
detikfinance;muhArief11
BigAlphaID;nremons
BigAlphaID;abiyogah
BigAlphaID;lalaateletabis
runturambi_w;dabenone2
BigAlphaID;isubilham
detikfinance;liliterbang
detikcom;ekaoktvn
BigAlphaID;budakskinker
BigAlphaID;somewayys
Naolivia__;Bagas36406270
BigAlphaID;sarahkhairiyah
kompasiana;marinarambe
catuaries;NugrahaSaputera
BigAlphaID;cahcilikjo
BigAlphaID;sanisna8
detikcom;pandukwn
detikfinance;hadhmeant
detikfinance;awangpri_
detikfinance;Andy_Wijaya_90
BigAlphaID;vrmdhnty
BigAlphaID;DominggusPetra
BigAlphaID;putciputricia
BigAlphaID;saamsulalam
Naolivia__;hendryx691
BigAlphaID;ErasMilanisti
detikfinance;piskilpascal
detikcom;siraitreynold
BigAlphaID;AS_Hendra
kumparan;fighter0507
BigAlphaID;konstantfear
BigAlphaID;bekicotcupu
detikfinance;IcalEdison
cnbcindonesia;kutarajapost
BigAlphaID;__Arif___
detikfinance;adityayu_
detikfinance;Mesuka0991
detikcom;GerhanaGW
cnbcindonesia;arena51
detikcom;Nurizal
detikcom;24Acoustic
BigAlphaID;DoARisk
BigAlphaID;ryugashit
BigAlphaID;Asaddullah10
detikfinance;muhArief11
detikcom;lukymen75
BigAlphaID;syaniaismaymayy
realAbikaTrader;DevinRmd
runturambi_w;Sakharansi13
BigAlphaID;anjirsidian
BigAlphaID;as_hhab
GamaelBen;AnakLolina2
detikcom;NinaAgusta1
BigAlphaID;ditatys_
BigAlphaID;HaniefMuhammad
detikfinance;supportkalian
BigAlphaID;qsbsdm
BigAlphaID;SatyaDewastraBW
detikfinance;kukluxcats
galamedianews;kang_karung
detikcom;dwath69
BigAlphaID;ayamgeprekkkkk
detikfinance;ArfL18_
detikcom;bestviewever
SilumanRi;Cr07fans1
BigAlphaID;jancooookkkkk
BigAlphaID;dadisaqil
detikcom;h3nd4r
BigAlphaID;_mamabruno
BigAlphaID;FA_emeres
BigAlphaID;yusandynov
detikcom;kingvQ
CNNIndonesia;Febyval22
Predator___id;__SintaElvhee2_
BigAlphaID;laksananda_
BigAlphaID;Priskakhrsma
detikcom;ryolandafit
BigAlphaID;FaizalHdayat
BigAlphaID;dwhyn12
BigAlphaID;Rfy20
My_LoveNebe;dwytono
detikcom;edhoaffandy
HendraGW;egoistcaptain
CNNIndonesia;tanpabotol
catuaries;danaedeanedo
kompascom;Syah_Almada
BigAlphaID;elija___
BigAlphaID;you_know_who666
BigAlphaID;rheyputation
BigAlphaID;aprilisiaa
detikfinance;Herrreza
BigAlphaID;DinarAuliaZ
idtodayco;VSIglory
My_LoveNebe;WibiantoAndreas
BigAlphaID;dioxlaide
detikcom;denys_chandra
BigAlphaID;ramarusyada
detikcom;dimasserlanggaa
detikcom;MVWulan
BigAlphaID;IhwanCho
