continent2,review
Africa,"A very nice place, not just because of the many monkeys around that you can take pictures of but also a very nice forest with huge amazing trees and a lot of scenic places to take amazing photos.
The monkeys are playful and fun.
Thereâ€™s also a art gallery with amazing paintings you can even purchase."
Africa,"Good place to watch monkey playing naturally. Many stairs to go up and down.
Good experience and even better if you have kids
"
Africa,"The jungle like look from the start was there with extremely long trees, the only instruction lines were written and repeated multiple times within the park. There were plenty of attendants wandering in most locations to ensure safe encounters with the monkeys. Toilets were plentiful and clean. Worth doing once."
Africa,"The entrance was so beautiful.

The monkeys was funny and cute
But always running from you.

Don't stare at them and also don't feed them.

Have a nice trip."
Africa,"One of the coolest places in Bali and a one-of-a-kind experience! The monkeys are wandering around everywhere so be careful of your belongings because the little suckers do steal!

One of the staff helped me get a monkey to sit on my shoulder and it was the most amazing photo I've ever taken.

Even if you're a bit scared, please find the courage to go this place because you will truly regret it if you don't."
Africa,Itâ€™s a nice place. You can see many types of monkeys in their daily activities! The kids really loved the place :)
Africa,"Unique experience! The monkeys seems to be treated well. Be careful, they may snatch your bag or sunglasses. A must if you are in Ubud."
Africa,Really enjoyed this the monkeys are all living their lifes and you literally get a look in . And the occasional laugh when they try stealing your stuff
Africa,"Hundreds of monkeys frolic around you in the sanctuary. Beautiful forest, which is well looked after and cared for. It is certainly worth seeing when in Ubud."
Africa,Definitely a must go. Only 80k per person and is a very scenic walk through the monkey jungle! We really enjoyed the sanctuary and even had some monkeys jump onto our shoulders while walking. Don't forget to take shiny jewelry and glasses off. Try avoid a bag of any sorts. Enjoy the walk!
Africa,If you are into close encounters with monkeys this is your place. Was fun walking / spending some time around these funny and peculiar creatures. Watch out - they snatch.
Africa,"After waiting months to actually get to Bali on our 30th wedding anniversary celebration ... visiting the sacred Monkey Forest sanctuary was on my ""to do list"" ... because we are actively involved with primate rehabilitation in SA it was a definite place to be. Really amazing to walk between the primates in their ""own"" environment, although sad to see that although visitors are requested NOT to feed the animals, they still do. Still lovely. Grounds very clean and well kept, monkeys in good health. Enjoyed the visit."
Africa,"The monkeys was so fun and interactive, the staff is very friendly and helpful, wear comfortable shoes."
Africa,A must see for all travelers in Bali. From the second you walk in you can see monkeys. They are so well looked after and kept in their own habitat. Nelson the blind money is a must see. He is the only animal in a cage and it is because he is blind. Hold onto your bags and try not to drop anything those monkeys are fast. Cute to see
Africa,"We had not planned to visit Monkey Forest Sanctuary, but after walking past, we changed our minds and were so happy that we did. The monkeys do not bother visitors and the views and tranquility of the forest were amazing."
Africa,"Within Ubud - beautiful maintained sanctuary. Easy to walk around. The monkeys where all around. Be careful of having loose clothing, hats or packets of food - the monkeys will take these."
Africa,We had such fun watching the interactions with the monkeys that we spent 2 hours here. The lush surrounds and antics of the monkeys made for an enjoyable visit. It was well kept and the staff were helpful and friendly. Well worth a visit.
Africa,"We were taken to the Monkey Forest and paid 50 000 rupiah apart from the transport. There r no guides just guys following u around wanting to take pictures which u had to pay for.

The exit takes u through an informal market where the sellers bombard u to buy their goods. We took a shortcut to avoid them as it can become annoying.

The monkeys r not aggressive, they jump up on ur shoulder and actually sit long enough for u to take a photo, but because people feed them they associate people with food as well as plastic bags with food."
Africa,"Loved the experience and the peaceful day out. the Guides were helpful and the forest was very neat and well kept. The monkeys were well behaved and didn't harass us at all. Don't carry food or water as they may snatch it. Guides were all around monitoring, so it was most enjoyable! I was fascinated watching some monkeys trying to crack open nuts - Extremely clever and they have learned some amazing skills to open these nuts! Sat watching them for ages!"
Africa,"The forest is really big and beautiful, however itâ€™s really difficult to take nice photos as itâ€™s really busy. We went in the afternoon and there were a lot of other tourists. Would suggest going in the morning"
Africa,Spending half a day in this sanctuary is highly recommended. The gardens are superp with some interesting statues places all around. The monkeys are up to a lot a mischief and love to try and get into your bag. Very enjoyable.
Africa,"Lovely place to visit. Beautiful trees, plants and of course cute as ever monkeys. Lots of them. The monkeys are very happy just walking around you as you go along. We took around an hour to see everything. There were huge cages with sweet potatoes which are locked and fed to the monkeys when it is time. We even witnessed two monkeys diving (literally) into a trough at one the gates and swimming amongst the koi. They were just like people and were having the time of their lives."
Africa,"I couldâ€™ve given this a miss to be honest, but itâ€™s something you just have to do when visiting Ubud. Thousands of people and noisy, as itâ€™s surrounded by main roads. Didnâ€™t feel like a sanctuary at all."
Africa,"Very lovely walk in the middle of the forest and monkeys
I always enjoys
May you hidden place
Just have to be careful of the agressive monkeys"
Africa,Good place for them to run free and live their lives worth a visit to see them play in water and run around just dnt hide any food they will know !
Africa,"Our visit started off well, we read the rules and believed we were well prepared for our experience. We watched the keepers feeding a host of monkeys, big and small, very sweet and lots of photo opportunities.

Then we moved on to the conservation area, which was much quieter - we came round the corner to find a lone tourist being attacked by three or four monkeys, opening the zips and rifling through the contents of his backpack. Luckily a group of young Australians came round the corner and, between us, we managed to distract the monkeys so we could retrieve his belongings. In the process, the girl was badly scratched down her leg by one of the monkeys. Shaken, we decided to continue down the path. Suddenly we were surrounded by 5-6 large monkeys. Two of them grabbed my dress and tried to rip it, baring their teeth and hissing. We turned round slowly, trying not to provoke them any further but as we did, one jumped on my back, presumably to get into my backpack. Having seen what a monkey can do with its claws, I was very close to panicking, but my sister kept me calm and eventually it jumped off. We headed towards the nearest exit and passed a keeper, sitting on the steps (aren't they supposed to patrol to stop this kind of thing?), who was decidedly uninterested and just said visitors shouldn't provoke the monkeys.

If you stay in the busy areas, you may well have a wonderful time admiring the beautiful forest and the wildlife, but be warned if you stray into quieter areas."
Africa,"When in Bali The Monkey Forest is a must see.
This place is so beautiful and so relaxing very clean.
It has the most beautiful green forest around you best place for pictures.
The most beautiful monkey's around you they are very tame.
The koi fish is a must see.
It is worth every cent and only cost Rp 80.000."
Africa,This is a beautiful place with a lot of very happy monkeys! I did also enjoy the forest and found the whole experience to be very peaceful and fun.
Africa,"After seeing several temples and becoming bored of them, we came across the Monkey Sanctuary and were pleasantly surprised. The monkeys roam free and are very used to tourists, so continue their day like we don't exist (unless you have any sort of food packaging on you, they attempted to steal our wetwipes and babys pacifier), otherwise it's one of the nicer places to see monkeys. The forests and ponds are really beautiful and it's very peaceful, even though you're in the middle of the city. Definitely worth the money to get in and spend an hour or so.
Not really stroller / wheel chair friendly as it appears upon arrival. The top level has ramps, but getting to many parts like the amphitheater, exhibition hall and Holy water has many stairs which is inaccessible by wheel chair and requires carrying the stroller."
Africa,"I am not fond of monkeys, one tried to grab someones bag, so that was not pleasant. Just not for me."
Africa,"The monkeys at the Sacred Monkey Forest Sanctuary are well behaved, most of the time. They are the cutest thing you have have seen. I saw a family (Mom, Dad & two kids) , Dad looking for fleas on Mom and one kid playing close to Mom and Dad while the other snuggled up to Mom - It seemed like they had a white picket fenced house and the kids went to private school. I saw one monkey grabbing a water bottle from one of the tourists though and another being aggressive with another tourists - in defence of the Monkeys, some of the tourists get too close to them with their tripods and selfie sticks. I observed them from afar - as promised to my doctor - I will not get too close to any animal therefore no need for an injection for rabies. Unfortunatley on the day I went there was a study being done and some ""medical checks"" on some ot the monkeys so I could not see everything. Just outside the Sacred Forest though, after I had bought myself a Gelato Ice Cream and a Sarong - I met a Ghetto Monkey from the streets of Ubud - he came out of nowhere and grabbed the plastic bag with my sarong, unfortunately I could not let him have it - I had plans to go to the temple in the morning. The rascal went for my Ice Cream next and it was knocked off my grip and landed on the road, we both dived for it and the littel tosser got to it first ."
Africa,"Itâ€™s lovely seeing the monkeys roaming about freely, but be wary as they are quite naughty and will grab stuff"
Africa,"Not too far from Ubud central - you can easily walk.
Fee was 50k rp per person. Keep your tickets if you have a car or scooter for free parking.
Read the rules before entering and do follow them please.
Keep all valuable things like jewelry and sunglasses, hats in your bag. The monkeys are quite nifty at removing them and disappearing into the trees. They will also inspect visitors carrying bags and having pockets too.
They are fed by the rangers frequently.
If a monkey jumps on you, don't panic and decide to use your GoPro as a weapon. Keep moving until it loses interest - the babies and smaller monkeys are very playful and will most likely climb on you.
Enjoy the experience - they are entertaining to watch and you can easily spend an hour or more here."
Africa,"The monkeys were free and roaming around. The forest is nicely laid out with great pathways for visitors. Very warm, so make sure to put on light clothing. This was an awesome experience"
Africa,"The monkey forest sanctuary is so beautiful and well looked after. There are many gorgeous statues, temples and monuments within the sanctuary that will leave you in awe.

However, the monkeys are a little bit â€œover-friendlyâ€ and if youâ€™re carrying a handbag or backpack, chances are they will try to climb on you to have a look at whatâ€™s inside. This unfortunately happened to me while standing within close contact of a monkey who was sitting on a railing.

The money grabbed onto my sling bag and climbed on it, I didnâ€™t panic and tried to slowly move away from the railing and gently pull my bag with me, the monkey however, didnâ€™t quite like this idea and instead of nicely climbing off, he decided to bite me on the hip.

If this happens to you and your skin is Pierced or blood is drawn, you will need to get a rabies vaccine as well as the rabies immunoglobulin and tetanus shots (for me this included the vaccine and immunoglobulin for tetanus). They also give you herpes B medication and antibiotics. This is really not a pleasant experience as you have to have the rabies shots on day 1,3,7,14 & 28. They also were going to charge us 600 000 000 rupiah for the rabies immunoglobulin so we ended up flying home early so that I could get the shot.

The sanctuary is beautiful and so are the monkeys but please do be careful and rather donâ€™t get too close."
Africa,"This was a super cool experience! The monkey forest is a beautiful place, filled with greenery, old traditional structures and of course monkeys! You will find monkeys in every corner of the forest - they are super cute, interesting and intelligent. Be careful with your belongings, your sunglasses, cell phones, wallets. They're super clever, so they can unzip bags, pockets, you name it. All in all it is an incredible place to visit when you are in Bali, it was on the top of our list!"
Africa,"Beautiful scenery, reminded me of Indiana Jones movies. Good to see the monkeys in thier habitat. Visit in the morning before it gets too hot."
Africa,Top tip - go early. Itâ€™s less busy and less hot. Yes itâ€™s lovely to watch the the monkeysâ€™ monkey around- but the highlight for us was the walkway down past the massive tree to the Holy spring temple and being able to sit quietly at the pool for a short while.
Africa,Best best best! I just loved and appreciated this experience. The monkeys in a beautiful natural setting. They could get cheeky but itâ€™s suggested to just witness them in their surroundings. I was fortunate that I sat down and watched the monkeys being fed (9am) and one decided to jump on me! It was so sweet! We are not allowed to feed them ourselves anymore FYI (in the past you could buy bananas to feed them). I recommend go as it opens! The crowd gets crazy busy and overwhelming and thatâ€™s when the monkeys get super cheeky .. enjoy!
Africa,A very beautiful place to visit in Bali. One of the popular tourist attractions. I really enjoyed it. Just got to be careful with your bag as the monkeys associate this with food so they try to snatch it away from you. So best is not to carry anything when visiting the money sanctuary. Other than that. It's beautiful.
Africa,"People can be real ignorant. There are warnings signs s d guides to tell you what mot to do but as stupid as some people are just to get attention they don't follow the rules and get hurt.
Read the signs listen and follow...animals are unpredictable and can be aggressive if provoked....
The forest itself is beautiful green and lush. However I was here 2 years ago and it was greener...understanding though as the forest has not seen rain in 6 months. I pray it does and gets back its lush"
Africa,"Its such a great experience to see how the culture, religion and respect or animals all combine in one place"
Africa,Went during the midday heat and wasnâ€™t disappointed! Covered in shade and kept on our toes by all the fascinating monkeys and their behaviors. A bit pricey (80000Kpp) but enjoyed it. A classic Ubud experience!
Africa,"Really enjoyed our time here. As long as you don't get too close to the monkeys, they're quite fine. They are comfortable among people, and not camera shy at all haha. A must visit when in Ubud"
Africa,"A must see for any Bali visitor. Peaceful walks through a stunning forest, and of course, monkeys everywhere. Clean well looked after sanctuary. I donâ€™t recommend taking drinks or food with you, the monkeys have a way of taking it out of you bag or will take it from your hands."
Africa,The monkeys are so cute and naughty and it was truly a blessed experience to get so up close and personal with them. And the cultural sites inside the forest were unbelievable.
Africa,"Perhaps I am subjective, but coming from Africa, this is not special at all. It is just a sanctuary for a number of monkeys and the monkeys do what monkeys do. They try to steal food, the react aggressively if they can not get hold of the food and they act monkey-like. That's that."
Africa,"I nice space where the monkeys are free and come and go as they please

We entered a bit late but there are nice walking trails and experience the ""jungle"""
