date;price;open;high;low
2020-04-17;3,23;3,08;3,25;3,08
2020-04-16;3;3,11;3,11;3
2020-04-15;3,11;3,25;3,3;3,09
2020-04-14;3,24;3,2;3,25;3,16
2020-04-13;3,18;3,14;3,23;3,13
2020-04-09;3,12;3,11;3,18;3,03
2020-04-08;3,11;3,22;3,22;3,05
2020-04-07;3,22;3,39;3,5;3,2
2020-04-06;3,33;3,28;3,33;3,18
2020-04-03;3,2;3,15;3,22;3,12
2020-04-02;3,13;3,1;3,13;3,02
2020-04-01;3,1;3,18;3,2;3,04
2020-03-31;3,16;3,18;3,3;3,12
2020-03-30;3,14;3,06;3,18;2,88
2020-03-27;3,09;3,05;3,27;3,05
2020-03-26;2,98;2,55;3,08;2,55
2020-03-24;2,62;2,7;2,88;2,57
2020-03-23;2,68;2,88;2,88;2,68
2020-03-20;2,88;2,66;2,99;2,45
2020-03-19;2,62;2,81;2,81;2,62
2020-03-18;2,81;3,01;3,08;2,74
2020-03-17;2,94;3,16;3,16;2,94
2020-03-16;3,16;3,3;3,3;3,16
2020-03-13;3,39;3,25;3,49;3,08
2020-03-12;3,31;3,3;3,44;3,27
2020-03-11;3,4;3,47;3,48;3,37
2020-03-10;3,49;3,48;3,62;3,48
2020-03-09;3,5;3,56;3,62;3,5
2020-03-06;3,75;3,73;3,79;3,71
2020-03-05;3,83;3,82;3,88;3,76
2020-03-04;3,83;3,64;3,84;3,63
2020-03-03;3,62;3,51;3,66;3,47
2020-03-02;3,44;3,47;3,55;3,44
2020-02-28;3,49;3,39;3,49;3,34
2020-02-27;3,47;3,51;3,55;3,42
2020-02-26;3,51;3,53;3,55;3,45
2020-02-25;3,59;3,6;3,67;3,59
2020-02-24;3,64;3,67;3,72;3,63
2020-02-21;3,69;3,65;3,71;3,64
2020-02-20;3,63;3,62;3,65;3,6
2020-02-19;3,62;3,62;3,64;3,59
2020-02-18;3,62;3,59;3,66;3,59
2020-02-17;3,61;3,63;3,66;3,59
2020-02-14;3,64;3,68;3,73;3,64
2020-02-13;3,73;3,82;3,83;3,71
2020-02-12;3,82;3,8;3,85;3,78
2020-02-11;3,79;3,81;3,83;3,78
2020-02-10;3,81;3,8;3,85;3,78
2020-02-07;3,79;3,78;3,82;3,76
2020-02-06;3,76;3,8;3,8;3,75
2020-02-05;3,77;3,76;3,78;3,72
2020-02-04;3,76;3,81;3,81;3,73
2020-02-03;3,74;3,8;3,82;3,73
2020-01-31;3,8;3,89;3,89;3,78
2020-01-30;3,86;3,91;3,91;3,85
2020-01-29;3,9;3,84;3,9;3,84
2020-01-28;3,83;3,81;3,84;3,8
2020-01-27;3,84;3,92;3,92;3,83
2020-01-24;3,92;3,88;3,93;3,86
2020-01-23;3,88;3,86;3,88;3,83
2020-01-22;3,86;3,89;3,89;3,85
2020-01-21;3,89;3,81;3,9;3,81
2020-01-20;3,81;3,82;3,84;3,8
2020-01-17;3,81;3,86;3,87;3,8
2020-01-16;3,85;3,89;3,89;3,83
2020-01-15;3,88;3,96;3,96;3,87
2020-01-14;3,95;3,98;4;3,94
2020-01-13;4,03;4;4,03;3,99
2020-01-10;3,98;3,98;3,99;3,95
2020-01-09;3,96;3,92;3,97;3,92
2020-01-08;3,9;3,92;3,95;3,9
2020-01-07;3,94;3,93;3,97;3,92
2020-01-06;3,96;3,93;3,97;3,93
2020-01-03;3,98;3,96;3,98;3,93
2020-01-02;3,91;3,97;4;3,9
2019-12-30;3,97;3,98;4,03;3,97
2019-12-27;3,99;3,99;4,01;3,98
2019-12-26;4;4,02;4,02;3,98
2019-12-23;4,02;4,02;4,03;3,98
2019-12-20;4,02;3,9;4,02;3,9
2019-12-19;3,9;3,97;3,98;3,9
2019-12-18;3,99;3,96;4;3,95
2019-12-17;3,98;3,97;3,99;3,95
2019-12-16;3,97;3,97;4,02;3,96
2019-12-13;3,99;4;4,02;3,96
2019-12-12;3,95;4,04;4,05;3,95
2019-12-11;4,05;4,01;4,05;4
2019-12-10;4,04;4,05;4,07;4,01
2019-12-09;4,07;4,08;4,11;4,05
2019-12-06;4,1;4,04;4,1;4,02
2019-12-05;4,06;3,99;4,08;3,99
2019-12-04;3,99;3,92;3,99;3,9
